date,WM,dcf,Deviation
1988-11-01,3.0,,
1988-11-02,3.0,,
1988-11-03,3.25,,
1988-11-04,3.25,,
1988-11-07,3.13,,
1988-11-08,3.0,,
1988-11-09,2.88,,
1988-11-10,2.75,,
1988-11-11,2.63,,
1988-11-14,2.63,,
1988-11-15,2.63,,
1988-11-16,2.75,,
1988-11-17,2.75,,
1988-11-18,2.63,,
1988-11-21,2.63,,
1988-11-22,2.63,,
1988-11-23,2.63,,
1988-11-25,2.63,,
1988-11-28,2.63,,
1988-11-29,2.5,,
1988-11-30,2.63,,
1988-12-01,2.63,,
1988-12-02,2.5,,
1988-12-05,2.5,,
1988-12-06,2.5,,
1988-12-07,2.5,,
1988-12-08,2.5,,
1988-12-09,2.38,,
1988-12-12,2.38,,
1988-12-13,2.38,,
1988-12-14,2.25,,
1988-12-15,2.25,,
1988-12-16,2.38,,
1988-12-19,2.25,,
1988-12-20,2.25,,
1988-12-21,2.25,,
1988-12-22,2.25,,
1988-12-23,2.38,,
1988-12-27,2.38,,
1988-12-28,2.5,,
1988-12-29,2.5,,
1988-12-30,2.38,,
1989-01-03,2.38,,
1989-01-04,2.38,,
1989-01-05,2.5,,
1989-01-06,2.5,,
1989-01-09,2.5,,
1989-01-10,2.75,,
1989-01-11,3.13,,
1989-01-12,3.13,,
1989-01-13,3.0,,
1989-01-16,3.0,,
1989-01-17,2.88,,
1989-01-18,2.88,,
1989-01-19,2.88,,
1989-01-20,3.0,,
1989-01-23,3.0,,
1989-01-24,3.0,,
1989-01-25,2.88,,
1989-01-26,3.0,,
1989-01-27,3.0,,
1989-01-30,3.0,,
1989-01-31,3.0,,
1989-02-01,3.13,,
1989-02-02,3.13,,
1989-02-03,3.13,,
1989-02-06,3.13,,
1989-02-07,3.13,,
1989-02-08,3.0,,
1989-02-09,2.88,,
1989-02-10,2.75,,
1989-02-13,2.63,,
1989-02-14,2.63,,
1989-02-15,2.63,,
1989-02-16,2.63,,
1989-02-17,2.63,,
1989-02-21,2.63,,
1989-02-22,2.63,,
1989-02-23,2.63,,
1989-02-24,2.5,,
1989-02-27,2.38,,
1989-02-28,2.38,,
1989-03-01,2.38,,
1989-03-02,2.38,,
1989-03-03,2.5,,
1989-03-06,2.5,,
1989-03-07,2.38,,
1989-03-08,2.38,,
1989-03-09,2.38,,
1989-03-10,2.38,,
1989-03-13,2.38,,
1989-03-14,2.25,,
1989-03-15,2.25,,
1989-03-16,2.5,,
1989-03-17,2.5,,
1989-03-20,2.38,,
1989-03-21,2.5,,
1989-03-22,2.63,,
1989-03-23,3.13,,
1989-03-27,3.13,,
1989-03-28,2.88,,
1989-03-29,2.88,,
1989-03-30,2.88,,
1989-03-31,2.88,,
1989-04-03,2.88,,
1989-04-04,2.88,,
1989-04-05,2.75,,
1989-04-06,2.75,,
1989-04-07,2.63,,
1989-04-10,2.63,,
1989-04-11,2.75,,
1989-04-12,2.75,,
1989-04-13,3.0,,
1989-04-14,3.0,,
1989-04-17,2.88,,
1989-04-18,2.88,,
1989-04-19,2.88,,
1989-04-20,2.88,,
1989-04-21,2.88,,
1989-04-24,2.75,,
1989-04-25,2.75,,
1989-04-26,2.63,,
1989-04-27,2.63,,
1989-04-28,2.63,,
1989-05-01,2.5,,
1989-05-02,2.5,,
1989-05-03,2.5,,
1989-05-04,2.5,,
1989-05-05,2.5,,
1989-05-08,2.5,,
1989-05-09,2.5,,
1989-05-10,2.38,,
1989-05-11,2.38,,
1989-05-12,2.38,,
1989-05-15,2.38,,
1989-05-16,2.38,,
1989-05-17,2.38,,
1989-05-18,2.38,,
1989-05-19,2.38,,
1989-05-22,2.38,,
1989-05-23,2.38,,
1989-05-24,2.5,,
1989-05-25,2.5,,
1989-05-26,2.5,,
1989-05-30,2.38,,
1989-05-31,2.38,,
1989-06-01,2.38,,
1989-06-02,2.25,,
1989-06-05,2.25,,
1989-06-06,2.25,,
1989-06-07,2.25,,
1989-06-08,2.25,,
1989-06-09,2.13,,
1989-06-12,2.13,,
1989-06-13,2.13,,
1989-06-14,2.13,,
1989-06-15,2.13,,
1989-06-16,2.13,,
1989-06-19,2.13,,
1989-06-20,2.13,,
1989-06-21,1.88,,
1989-06-22,1.88,,
1989-06-23,1.88,,
1989-06-26,1.88,,
1989-06-27,1.88,,
1989-06-28,1.88,,
1989-06-29,1.88,,
1989-06-30,1.88,,
1989-07-03,1.88,,
1989-07-05,1.88,,
1989-07-06,1.88,,
1989-07-07,1.88,,
1989-07-10,1.88,,
1989-07-11,1.88,,
1989-07-12,1.88,,
1989-07-13,2.0,,
1989-07-14,2.0,,
1989-07-17,2.0,,
1989-07-18,2.0,,
1989-07-19,1.88,,
1989-07-20,1.88,,
1989-07-21,1.75,,
1989-07-24,1.75,,
1989-07-25,1.75,,
1989-07-26,1.88,,
1989-07-27,1.88,,
1989-07-28,1.88,,
1989-07-31,1.88,,
1989-08-01,1.88,,
1989-08-02,1.88,,
1989-08-03,1.88,,
1989-08-04,1.88,,
1989-08-07,1.88,,
1989-08-08,2.0,,
1989-08-09,1.88,,
1989-08-10,1.88,,
1989-08-11,1.88,,
1989-08-14,1.88,,
1989-08-15,1.88,,
1989-08-16,1.75,,
1989-08-17,1.75,,
1989-08-18,1.63,,
1989-08-21,1.75,,
1989-08-22,1.75,,
1989-08-23,1.75,,
1989-08-24,1.63,,
1989-08-25,1.75,,
1989-08-28,1.75,,
1989-08-29,1.75,,
1989-08-30,1.75,,
1989-08-31,1.75,,
1989-09-01,1.75,,
1989-09-05,1.75,,
1989-09-06,1.75,,
1989-09-07,1.75,,
1989-09-08,1.88,,
1989-09-11,1.88,,
1989-09-12,1.88,,
1989-09-13,1.75,,
1989-09-14,1.75,,
1989-09-15,1.75,,
1989-09-18,1.75,,
1989-09-19,1.63,,
1989-09-20,1.63,,
1989-09-21,1.5,,
1989-09-22,1.5,,
1989-09-25,1.63,,
1989-09-26,1.63,,
1989-09-27,1.63,,
1989-09-28,1.63,,
1989-09-29,2.0,,
1989-10-02,2.38,,
1989-10-03,2.5,,
1989-10-04,2.25,,
1989-10-05,2.25,,
1989-10-06,2.5,,
1989-10-09,2.38,,
1989-10-10,2.13,,
1989-10-11,2.13,,
1989-10-12,2.13,,
1989-10-13,2.0,,
1989-10-16,1.88,,
1989-10-17,2.0,,
1989-10-18,2.0,,
1989-10-19,2.13,,
1989-10-20,2.0,,
1989-10-23,2.0,,
1989-10-24,2.0,,
1989-10-25,2.0,,
1989-10-26,2.0,,
1989-10-27,1.88,,
1989-10-30,1.88,,
1989-10-31,1.88,,
1989-11-01,1.88,,
1989-11-02,1.88,,
1989-11-03,1.88,,
1989-11-06,1.88,,
1989-11-07,1.88,,
1989-11-08,1.88,,
1989-11-09,1.75,,
1989-11-10,1.75,,
1989-11-13,1.75,,
1989-11-14,1.75,,
1989-11-15,1.75,,
1989-11-16,1.75,,
1989-11-17,1.75,,
1989-11-20,1.88,,
1989-11-21,1.88,,
1989-11-22,1.88,,
1989-11-24,1.88,,
1989-11-27,1.88,,
1989-11-28,1.88,,
1989-11-29,2.0,,
1989-11-30,2.0,,
1989-12-01,2.0,,
1989-12-04,2.0,,
1989-12-05,2.0,,
1989-12-06,2.0,,
1989-12-07,2.0,,
1989-12-08,2.0,,
1989-12-11,2.0,,
1989-12-12,2.0,,
1989-12-13,2.0,,
1989-12-14,2.0,,
1989-12-15,1.88,,
1989-12-18,1.75,,
1989-12-19,1.88,,
1989-12-20,1.75,,
1989-12-21,1.63,,
1989-12-22,1.5,,
1989-12-26,1.5,,
1989-12-27,1.5,,
1989-12-28,1.5,,
1989-12-29,1.5,,
1990-01-02,1.5,,
1990-01-03,1.5,,
1990-01-04,1.5,,
1990-01-05,1.63,,
1990-01-08,1.63,,
1990-01-09,1.5,,
1990-01-10,1.5,,
1990-01-11,1.5,,
1990-01-12,1.5,,
1990-01-15,1.63,,
1990-01-16,1.5,,
1990-01-17,1.63,,
1990-01-18,1.63,,
1990-01-19,1.63,,
1990-01-22,1.63,,
1990-01-23,1.63,,
1990-01-24,1.5,,
1990-01-25,1.5,,
1990-01-26,1.5,,
1990-01-29,1.5,,
1990-01-30,1.38,,
1990-01-31,1.38,,
1990-02-01,1.38,,
1990-02-02,1.38,,
1990-02-05,1.5,,
1990-02-06,1.38,,
1990-02-07,1.38,,
1990-02-08,1.38,,
1990-02-09,1.38,,
1990-02-12,1.38,,
1990-02-13,1.38,,
1990-02-14,1.38,,
1990-02-15,1.38,,
1990-02-16,1.38,,
1990-02-20,1.38,,
1990-02-21,1.38,,
1990-02-22,1.38,,
1990-02-23,1.38,,
1990-02-26,1.38,,
1990-02-27,1.5,,
1990-02-28,1.5,,
1990-03-01,1.5,,
1990-03-02,1.5,,
1990-03-05,1.5,,
1990-03-06,1.5,,
1990-03-07,1.5,,
1990-03-08,1.5,,
1990-03-09,1.5,,
1990-03-12,1.63,,
1990-03-13,1.75,,
1990-03-14,2.0,,
1990-03-15,2.0,,
1990-03-16,2.0,,
1990-03-19,2.13,,
1990-03-20,2.13,,
1990-03-21,2.13,,
1990-03-22,2.0,,
1990-03-23,1.88,,
1990-03-26,2.0,,
1990-03-27,2.0,,
1990-03-28,2.0,,
1990-03-29,2.13,,
1990-03-30,2.25,,
1990-04-02,2.25,,
1990-04-03,2.38,,
1990-04-04,2.38,,
1990-04-05,2.63,,
1990-04-06,2.5,,
1990-04-09,2.38,,
1990-04-10,2.38,,
1990-04-11,2.38,,
1990-04-12,2.25,,
1990-04-16,2.13,,
1990-04-17,2.13,,
1990-04-18,2.0,,
1990-04-19,2.0,,
1990-04-20,2.0,,
1990-04-23,1.88,,
1990-04-24,1.88,,
1990-04-25,1.88,,
1990-04-26,1.88,,
1990-04-27,1.88,,
1990-04-30,1.88,,
1990-05-01,1.75,,
1990-05-02,1.75,,
1990-05-03,1.75,,
1990-05-04,1.75,,
1990-05-07,1.88,,
1990-05-08,1.88,,
1990-05-09,1.88,,
1990-05-10,1.88,,
1990-05-11,1.88,,
1990-05-14,1.88,,
1990-05-15,2.0,,
1990-05-16,1.88,,
1990-05-17,1.88,,
1990-05-18,1.88,,
1990-05-21,1.88,,
1990-05-22,1.88,,
1990-05-23,1.88,,
1990-05-24,2.0,,
1990-05-25,2.0,,
1990-05-29,1.88,,
1990-05-30,1.88,,
1990-05-31,1.88,,
1990-06-01,2.0,,
1990-06-04,2.13,,
1990-06-05,2.38,,
1990-06-06,3.0,,
1990-06-07,2.88,,
1990-06-08,2.88,,
1990-06-11,3.0,,
1990-06-12,3.25,,
1990-06-13,3.38,,
1990-06-14,3.5,,
1990-06-15,3.5,,
1990-06-18,3.63,,
1990-06-19,3.25,,
1990-06-20,3.25,,
1990-06-21,3.13,,
1990-06-22,3.13,,
1990-06-25,3.25,,
1990-06-26,3.25,,
1990-06-27,3.5,,
1990-06-28,3.63,,
1990-06-29,3.88,,
1990-07-02,3.75,,
1990-07-03,3.75,,
1990-07-05,3.63,,
1990-07-06,3.63,,
1990-07-09,3.88,,
1990-07-10,3.75,,
1990-07-11,3.88,,
1990-07-12,4.0,,
1990-07-13,5.38,,
1990-07-16,5.13,,
1990-07-17,4.63,,
1990-07-18,4.5,,
1990-07-19,4.38,,
1990-07-20,4.5,,
1990-07-23,4.63,,
1990-07-24,5.38,,
1990-07-25,5.75,,
1990-07-26,5.75,,
1990-07-27,6.0,,
1990-07-30,6.0,,
1990-07-31,6.0,,
1990-08-01,5.88,,
1990-08-02,5.13,,
1990-08-03,5.0,,
1990-08-06,4.88,,
1990-08-07,4.88,,
1990-08-08,4.88,,
1990-08-09,5.13,,
1990-08-10,5.38,,
1990-08-13,5.38,,
1990-08-14,5.5,,
1990-08-15,5.5,,
1990-08-16,5.25,,
1990-08-17,4.88,,
1990-08-20,4.88,,
1990-08-21,4.75,,
1990-08-22,4.63,,
1990-08-23,4.25,,
1990-08-24,4.13,,
1990-08-27,4.25,,
1990-08-28,4.38,,
1990-08-29,4.5,,
1990-08-30,4.5,,
1990-08-31,4.63,,
1990-09-04,4.38,,
1990-09-05,4.5,,
1990-09-06,4.38,,
1990-09-07,4.38,,
1990-09-10,4.38,,
1990-09-11,4.38,,
1990-09-12,4.5,,
1990-09-13,4.38,,
1990-09-14,4.38,,
1990-09-17,4.38,,
1990-09-18,4.5,,
1990-09-19,4.5,,
1990-09-20,4.5,,
1990-09-21,4.75,,
1990-09-24,4.75,,
1990-09-25,5.13,,
1990-09-26,5.0,,
1990-09-27,4.75,,
1990-09-28,4.75,,
1990-10-01,5.25,,
1990-10-02,5.0,,
1990-10-03,4.75,,
1990-10-04,4.88,,
1990-10-05,5.13,,
1990-10-08,5.0,,
1990-10-09,4.88,,
1990-10-10,4.88,,
1990-10-11,4.75,,
1990-10-12,4.75,,
1990-10-15,4.63,,
1990-10-16,4.63,,
1990-10-17,4.75,,
1990-10-18,4.75,,
1990-10-19,4.75,,
1990-10-22,4.75,,
1990-10-23,5.25,,
1990-10-24,5.13,,
1990-10-25,5.13,,
1990-10-26,5.13,,
1990-10-29,5.13,,
1990-10-30,5.13,,
1990-10-31,5.63,,
1990-11-01,5.63,,
1990-11-02,5.63,,
1990-11-05,5.63,,
1990-11-06,5.63,,
1990-11-07,5.63,,
1990-11-08,5.5,,
1990-11-09,5.5,,
1990-11-12,5.38,,
1990-11-13,5.38,,
1990-11-14,5.38,,
1990-11-15,5.38,,
1990-11-16,5.25,,
1990-11-19,5.25,,
1990-11-20,5.25,,
1990-11-21,5.25,,
1990-11-23,5.25,,
1990-11-26,5.25,,
1990-11-27,5.13,,
1990-11-28,5.13,,
1990-11-29,5.0,,
1990-11-30,5.25,,
1990-12-03,5.25,,
1990-12-04,5.25,,
1990-12-05,5.38,,
1990-12-06,5.38,,
1990-12-07,5.38,,
1990-12-10,5.38,,
1990-12-11,5.38,,
1990-12-12,5.38,,
1990-12-13,5.38,,
1990-12-14,5.38,,
1990-12-17,5.38,,
1990-12-18,5.38,,
1990-12-19,5.38,,
1990-12-20,5.38,,
1990-12-21,5.38,,
1990-12-24,5.38,,
1990-12-26,5.38,,
1990-12-27,5.38,,
1990-12-28,5.38,,
1990-12-31,5.75,,
1991-01-02,5.63,,
1991-01-03,5.63,,
1991-01-04,5.63,,
1991-01-07,5.5,,
1991-01-08,5.5,,
1991-01-09,5.5,,
1991-01-10,5.5,,
1991-01-11,5.5,,
1991-01-14,5.5,,
1991-01-15,5.38,,
1991-01-16,5.38,,
1991-01-17,5.38,,
1991-01-18,5.38,,
1991-01-21,5.38,,
1991-01-22,5.38,,
1991-01-23,5.38,,
1991-01-24,5.38,,
1991-01-25,5.5,,
1991-01-28,5.63,,
1991-01-29,5.63,,
1991-01-30,5.75,,
1991-01-31,5.75,,
1991-02-01,5.63,,
1991-02-04,6.13,,
1991-02-05,6.13,,
1991-02-06,6.0,,
1991-02-07,6.0,,
1991-02-08,5.88,,
1991-02-11,5.88,,
1991-02-12,5.88,,
1991-02-13,5.88,,
1991-02-14,5.88,,
1991-02-15,5.88,,
1991-02-19,5.88,,
1991-02-20,5.88,,
1991-02-21,5.88,,
1991-02-22,5.88,,
1991-02-25,5.88,,
1991-02-26,5.88,,
1991-02-27,5.88,,
1991-02-28,5.88,,
1991-03-01,5.88,,
1991-03-04,6.13,,
1991-03-05,6.5,,
1991-03-06,7.0,,
1991-03-07,7.13,,
1991-03-08,7.0,,
1991-03-11,7.13,,
1991-03-12,7.5,,
1991-03-13,8.88,,
1991-03-14,8.25,,
1991-03-15,8.25,,
1991-03-18,8.63,,
1991-03-19,8.88,,
1991-03-20,9.13,,
1991-03-21,9.13,,
1991-03-22,8.88,,
1991-03-25,9.0,,
1991-03-26,8.88,,
1991-03-27,9.13,,
1991-03-28,9.13,,
1991-04-01,9.0,,
1991-04-02,9.0,,
1991-04-03,8.5,,
1991-04-04,8.5,,
1991-04-05,8.38,,
1991-04-08,8.5,,
1991-04-09,8.5,,
1991-04-10,8.63,,
1991-04-11,8.5,,
1991-04-12,8.5,,
1991-04-15,8.38,,
1991-04-16,8.13,,
1991-04-17,8.0,,
1991-04-18,8.0,,
1991-04-19,8.0,,
1991-04-22,8.0,,
1991-04-23,8.25,,
1991-04-24,8.25,,
1991-04-25,8.25,,
1991-04-26,8.38,,
1991-04-29,8.88,,
1991-04-30,8.75,,
1991-05-01,8.63,,
1991-05-02,8.63,,
1991-05-03,9.13,,
1991-05-06,8.75,,
1991-05-07,8.75,,
1991-05-08,8.75,,
1991-05-09,8.75,,
1991-05-10,8.75,,
1991-05-13,8.75,,
1991-05-14,8.63,,
1991-05-15,8.63,,
1991-05-16,8.63,,
1991-05-17,8.63,,
1991-05-20,8.63,,
1991-05-21,8.63,,
1991-05-22,8.63,,
1991-05-23,8.63,,
1991-05-24,8.63,,
1991-05-28,8.63,,
1991-05-29,8.88,,
1991-05-30,9.38,,
1991-05-31,9.25,,
1991-06-03,9.88,,
1991-06-04,10.0,,
1991-06-05,11.0,,
1991-06-06,11.25,,
1991-06-07,11.0,,
1991-06-10,11.0,,
1991-06-11,11.0,,
1991-06-12,11.0,,
1991-06-13,11.0,,
1991-06-14,11.5,,
1991-06-17,11.5,,
1991-06-18,11.63,,
1991-06-19,11.63,,
1991-06-20,11.63,,
1991-06-21,11.63,,
1991-06-24,11.63,,
1991-06-25,12.75,,
1991-06-26,12.75,,
1991-06-27,14.5,,
1991-06-28,14.13,,
1991-07-01,14.5,,
1991-07-02,15.0,,
1991-07-03,15.0,,
1991-07-05,15.0,,
1991-07-08,14.38,,
1991-07-09,13.5,,
1991-07-10,13.5,,
1991-07-11,13.5,,
1991-07-12,13.5,,
1991-07-15,13.5,,
1991-07-16,13.88,,
1991-07-17,13.88,,
1991-07-18,13.88,,
1991-07-19,14.0,,
1991-07-22,14.0,,
1991-07-23,14.0,,
1991-07-24,14.0,,
1991-07-25,14.0,,
1991-07-26,14.0,,
1991-07-29,14.25,,
1991-07-30,14.5,,
1991-07-31,14.5,,
1991-08-01,14.5,,
1991-08-02,14.5,,
1991-08-05,14.5,,
1991-08-06,14.0,,
1991-08-07,14.0,,
1991-08-08,14.25,,
1991-08-09,14.25,,
1991-08-12,14.25,,
1991-08-13,14.25,,
1991-08-14,14.25,,
1991-08-15,14.25,,
1991-08-16,14.25,,
1991-08-19,14.25,,
1991-08-20,14.25,,
1991-08-21,14.25,,
1991-08-22,14.25,,
1991-08-23,14.25,,
1991-08-26,14.25,,
1991-08-27,14.25,,
1991-08-28,14.25,,
1991-08-29,14.25,,
1991-08-30,14.25,,
1991-09-03,14.25,,
1991-09-04,14.25,,
1991-09-05,14.5,,
1991-09-06,16.0,,
1991-09-09,17.0,,
1991-09-10,17.0,,
1991-09-11,17.0,,
1991-09-12,16.75,,
1991-09-13,16.75,,
1991-09-16,16.75,,
1991-09-17,16.75,,
1991-09-18,16.75,,
1991-09-19,16.75,,
1991-09-20,16.75,,
1991-09-23,16.75,,
1991-09-24,16.75,,
1991-09-25,17.0,,
1991-09-26,17.0,,
1991-09-27,17.0,,
1991-09-30,17.0,,
1991-10-01,17.5,,
1991-10-02,17.0,,
1991-10-03,17.75,,
1991-10-04,17.0,,
1991-10-07,17.0,,
1991-10-08,18.0,,
1991-10-09,17.25,,
1991-10-10,17.13,,
1991-10-11,17.0,,
1991-10-14,17.0,,
1991-10-15,16.25,,
1991-10-16,16.25,,
1991-10-17,17.0,,
1991-10-18,17.25,,
1991-10-21,17.0,,
1991-10-22,16.5,,
1991-10-23,17.25,,
1991-10-24,16.25,,
1991-10-25,16.25,,
1991-10-28,17.0,,
1991-10-29,16.25,,
1991-10-30,16.13,,
1991-10-31,16.75,,
1991-11-01,16.0,,
1991-11-04,16.75,,
1991-11-05,15.75,,
1991-11-06,15.5,,
1991-11-07,15.5,,
1991-11-08,15.5,,
1991-11-11,16.25,,
1991-11-12,15.75,,
1991-11-13,15.75,,
1991-11-14,15.75,,
1991-11-15,15.75,,
1991-11-18,15.75,,
1991-11-19,15.5,,
1991-11-20,16.75,,
1991-11-21,16.63,,
1991-11-22,16.0,,
1991-11-25,15.5,,
1991-11-26,16.25,,
1991-11-27,16.25,,
1991-11-29,16.0,,
1991-12-02,15.75,,
1991-12-03,16.13,,
1991-12-04,16.5,,
1991-12-05,17.0,,
1991-12-06,17.0,,
1991-12-09,17.5,,
1991-12-10,17.63,,
1991-12-11,18.0,,
1991-12-12,17.25,,
1991-12-13,17.88,,
1991-12-16,17.5,,
1991-12-17,17.5,,
1991-12-18,17.75,,
1991-12-19,18.0,,
1991-12-20,17.0,,
1991-12-23,17.25,,
1991-12-24,16.75,,
1991-12-26,17.75,,
1991-12-27,17.75,,
1991-12-30,17.75,,
1991-12-31,17.5,,
1992-01-02,18.0,,
1992-01-03,18.0,,
1992-01-06,17.63,,
1992-01-07,17.25,,
1992-01-08,17.75,,
1992-01-09,17.0,,
1992-01-10,17.0,,
1992-01-13,17.25,,
1992-01-14,17.25,,
1992-01-15,17.0,,
1992-01-16,16.75,,
1992-01-17,16.75,,
1992-01-20,17.25,,
1992-01-21,17.5,,
1992-01-22,17.5,,
1992-01-23,17.25,,
1992-01-24,16.5,,
1992-01-27,17.0,,
1992-01-28,16.5,,
1992-01-29,17.13,,
1992-01-30,17.25,,
1992-01-31,17.13,,
1992-02-03,16.75,,
1992-02-04,17.25,,
1992-02-05,17.25,,
1992-02-06,16.63,,
1992-02-07,17.25,,
1992-02-10,17.25,,
1992-02-11,16.5,,
1992-02-12,17.25,,
1992-02-13,16.75,,
1992-02-14,17.0,,
1992-02-18,16.5,,
1992-02-19,16.5,,
1992-02-20,16.25,,
1992-02-21,16.63,,
1992-02-24,16.0,,
1992-02-25,15.5,,
1992-02-26,16.25,,
1992-02-27,16.5,,
1992-02-28,17.0,,
1992-03-02,17.0,,
1992-03-03,16.88,,
1992-03-04,16.5,,
1992-03-05,16.5,,
1992-03-06,16.5,,
1992-03-09,16.38,,
1992-03-10,16.5,,
1992-03-11,15.75,,
1992-03-12,15.75,,
1992-03-13,15.88,,
1992-03-16,15.5,,
1992-03-17,15.63,,
1992-03-18,16.0,,
1992-03-19,15.5,,
1992-03-20,16.0,,
1992-03-23,15.75,,
1992-03-24,15.75,,
1992-03-25,15.5,,
1992-03-26,15.5,,
1992-03-27,15.5,,
1992-03-30,15.5,,
1992-03-31,15.5,,
1992-04-01,14.5,,
1992-04-02,14.75,,
1992-04-03,14.5,,
1992-04-06,14.25,,
1992-04-07,14.38,,
1992-04-08,13.0,,
1992-04-09,13.0,,
1992-04-10,13.25,,
1992-04-13,12.75,,
1992-04-14,12.5,,
1992-04-15,12.75,,
1992-04-16,12.88,,
1992-04-20,12.5,,
1992-04-21,12.0,,
1992-04-22,12.25,,
1992-04-23,12.13,,
1992-04-24,12.0,,
1992-04-27,12.5,,
1992-04-28,12.0,,
1992-04-29,12.25,,
1992-04-30,12.13,,
1992-05-01,12.0,,
1992-05-04,12.25,,
1992-05-05,12.0,,
1992-05-06,12.25,,
1992-05-07,12.25,,
1992-05-08,13.5,,
1992-05-11,13.63,,
1992-05-12,14.0,,
1992-05-13,13.88,,
1992-05-14,14.0,,
1992-05-15,13.75,,
1992-05-18,13.75,,
1992-05-19,13.75,,
1992-05-20,13.5,,
1992-05-21,14.25,,
1992-05-22,14.25,,
1992-05-26,13.5,,
1992-05-27,14.25,,
1992-05-28,14.25,,
1992-05-29,13.0,,
1992-06-01,13.75,,
1992-06-02,13.0,,
1992-06-03,13.75,,
1992-06-04,13.0,,
1992-06-05,13.75,,
1992-06-08,13.75,,
1992-06-09,13.25,,
1992-06-10,13.0,,
1992-06-11,12.5,,
1992-06-12,12.5,,
1992-06-15,13.38,,
1992-06-16,13.38,,
1992-06-17,13.75,,
1992-06-18,13.75,,
1992-06-19,13.75,,
1992-06-22,13.75,,
1992-06-23,13.75,,
1992-06-24,13.0,,
1992-06-25,13.25,,
1992-06-26,13.75,,
1992-06-29,13.0,,
1992-06-30,13.25,,
1992-07-01,13.0,,
1992-07-02,13.25,,
1992-07-06,13.0,,
1992-07-07,13.5,,
1992-07-08,13.0,,
1992-07-09,13.5,,
1992-07-10,12.75,,
1992-07-13,12.75,,
1992-07-14,13.13,,
1992-07-15,12.75,,
1992-07-16,13.13,,
1992-07-17,13.25,,
1992-07-20,12.25,,
1992-07-21,13.25,,
1992-07-22,13.13,,
1992-07-23,13.13,,
1992-07-24,13.13,,
1992-07-27,12.75,,
1992-07-28,12.75,,
1992-07-29,12.75,,
1992-07-30,13.0,,
1992-07-31,13.25,,
1992-08-03,13.25,,
1992-08-04,13.0,,
1992-08-05,13.5,,
1992-08-06,12.75,,
1992-08-07,12.5,,
1992-08-10,13.0,,
1992-08-11,13.0,,
1992-08-12,12.75,,
1992-08-13,12.5,,
1992-08-14,13.0,,
1992-08-17,12.5,,
1992-08-18,13.0,,
1992-08-19,12.5,,
1992-08-20,12.63,,
1992-08-21,12.63,,
1992-08-24,13.0,,
1992-08-25,12.25,,
1992-08-26,13.0,,
1992-08-27,12.25,,
1992-08-28,12.5,,
1992-08-31,12.13,,
1992-09-01,12.5,,
1992-09-02,12.5,,
1992-09-03,12.5,,
1992-09-04,12.5,,
1992-09-08,12.5,,
1992-09-09,12.5,,
1992-09-10,12.5,,
1992-09-11,12.5,,
1992-09-14,12.38,,
1992-09-15,12.5,,
1992-09-16,12.25,,
1992-09-17,11.5,,
1992-09-18,11.25,,
