date,A,dcf,Deviation
2000-08-30,43.9,,
2000-08-31,43.63,,
2000-09-01,44.26,,
2000-09-05,44.21,,
2000-09-06,42.92,,
2000-09-07,44.26,,
2000-09-08,42.38,,
2000-09-11,40.59,,
2000-09-12,39.34,,
2000-09-13,39.34,,
2000-09-14,39.88,,
2000-09-15,40.77,,
2000-09-18,38.63,,
2000-09-19,38.54,,
2000-09-20,37.55,,
2000-09-21,34.33,,
2000-09-22,35.77,,
2000-09-25,34.56,,
2000-09-26,32.32,,
2000-09-27,32.9,,
2000-09-28,34.3,,
2000-09-29,35.01,,
2000-10-02,36.17,,
2000-10-03,38.0,,
2000-10-04,41.4,,
2000-10-05,39.43,,
2000-10-06,37.33,,
2000-10-09,36.26,,
2000-10-10,35.45,,
2000-10-11,32.77,,
2000-10-12,32.01,,
2000-10-13,31.74,,
2000-10-16,33.22,,
2000-10-17,30.98,,
2000-10-18,29.24,,
2000-10-19,31.29,,
2000-10-20,33.31,,
2000-10-23,36.53,,
2000-10-24,34.38,,
2000-10-25,30.49,,
2000-10-26,31.47,,
2000-10-27,32.73,,
2000-10-30,32.55,,
2000-10-31,33.13,,
2000-11-01,33.49,,
2000-11-02,34.42,,
2000-11-03,33.49,,
2000-11-06,33.17,,
2000-11-07,32.86,,
2000-11-08,31.74,,
2000-11-09,31.16,,
2000-11-10,28.21,,
2000-11-13,28.12,,
2000-11-14,30.49,,
2000-11-15,31.03,,
2000-11-16,29.77,,
2000-11-17,33.89,,
2000-11-20,31.92,,
2000-11-21,34.78,,
2000-11-22,34.33,,
2000-11-24,36.44,,
2000-11-27,36.12,,
2000-11-28,36.26,,
2000-11-29,38.54,,
2000-11-30,37.33,,
2000-12-01,37.91,,
2000-12-04,36.48,,
2000-12-05,39.39,,
2000-12-06,37.2,,
2000-12-07,38.63,,
2000-12-08,42.52,,
2000-12-11,41.31,,
2000-12-12,40.95,,
2000-12-13,41.62,,
2000-12-14,42.38,,
2000-12-15,40.68,,
2000-12-18,40.77,,
2000-12-19,40.82,,
2000-12-20,37.55,,
2000-12-21,36.75,,
2000-12-22,39.12,,
2000-12-26,38.27,,
2000-12-27,40.01,,
2000-12-28,39.57,,
2000-12-29,39.16,,
2001-01-02,36.39,,
2001-01-03,40.15,,
2001-01-04,41.67,,
2001-01-05,39.39,,
2001-01-08,38.09,,
2001-01-09,37.91,,
2001-01-10,39.57,,
2001-01-11,41.17,,
2001-01-12,40.15,,
2001-01-16,41.62,,
2001-01-17,44.3,,
2001-01-18,48.33,,
2001-01-19,46.9,,
2001-01-22,44.89,,
2001-01-23,44.89,,
2001-01-24,41.49,,
2001-01-25,39.52,,
2001-01-26,39.07,,
2001-01-29,38.93,,
2001-01-30,39.16,,
2001-01-31,39.02,,
2001-02-01,38.48,,
2001-02-02,37.34,,
2001-02-05,35.19,,
2001-02-06,36.46,,
2001-02-07,35.87,,
2001-02-08,38.78,,
2001-02-09,37.55,,
2001-02-12,36.57,,
2001-02-13,33.88,,
2001-02-14,34.33,,
2001-02-15,38.52,,
2001-02-16,35.77,,
2001-02-20,31.47,,
2001-02-21,28.76,,
2001-02-22,27.95,,
2001-02-23,27.4,,
2001-02-26,27.4,,
2001-02-27,27.29,,
2001-02-28,25.75,,
2001-03-01,27.4,,
2001-03-02,27.2,,
2001-03-05,27.22,,
2001-03-06,29.04,,
2001-03-07,29.3,,
2001-03-08,28.61,,
2001-03-09,26.5,,
2001-03-12,25.04,,
2001-03-13,26.17,,
2001-03-14,25.25,,
2001-03-15,24.93,,
2001-03-16,24.86,,
2001-03-19,26.46,,
2001-03-20,24.54,,
2001-03-21,22.6,,
2001-03-22,24.89,,
2001-03-23,27.06,,
2001-03-26,26.52,,
2001-03-27,26.42,,
2001-03-28,23.39,,
2001-03-29,21.46,,
2001-03-30,21.98,,
2001-04-02,22.07,,
2001-04-03,21.1,,
2001-04-04,20.09,,
2001-04-05,21.9,,
2001-04-06,19.89,,
2001-04-09,19.74,,
2001-04-10,21.35,,
2001-04-11,22.66,,
2001-04-12,24.29,,
2001-04-16,23.83,,
2001-04-17,23.84,,
2001-04-18,27.17,,
2001-04-19,27.89,,
2001-04-20,28.9,,
2001-04-23,28.61,,
2001-04-24,26.62,,
2001-04-25,27.78,,
2001-04-26,27.19,,
2001-04-27,27.75,,
2001-04-30,27.9,,
2001-05-01,28.04,,
2001-05-02,28.41,,
2001-05-03,27.5,,
2001-05-04,27.45,,
2001-05-07,27.71,,
2001-05-08,27.48,,
2001-05-09,27.9,,
2001-05-10,28.05,,
2001-05-11,28.39,,
2001-05-14,27.72,,
2001-05-15,26.79,,
2001-05-16,27.54,,
2001-05-17,27.7,,
2001-05-18,25.75,,
2001-05-21,27.18,,
2001-05-22,28.08,,
2001-05-23,27.13,,
2001-05-24,25.97,,
2001-05-25,26.96,,
2001-05-29,25.72,,
2001-05-30,23.51,,
2001-05-31,23.99,,
2001-06-01,24.3,,
2001-06-04,23.96,,
2001-06-05,24.39,,
2001-06-06,24.51,,
2001-06-07,25.64,,
2001-06-08,25.04,,
2001-06-11,24.16,,
2001-06-12,23.82,,
2001-06-13,23.35,,
2001-06-14,22.25,,
2001-06-15,21.79,,
2001-06-18,21.46,,
2001-06-19,20.97,,
2001-06-20,20.33,,
2001-06-21,21.16,,
2001-06-22,21.03,,
2001-06-25,21.21,,
2001-06-26,20.89,,
2001-06-27,21.35,,
2001-06-28,22.67,,
2001-06-29,23.25,,
2001-07-02,23.67,,
2001-07-03,23.26,,
2001-07-05,23.01,,
2001-07-06,21.57,,
2001-07-09,21.39,,
2001-07-10,20.24,,
2001-07-11,19.22,,
2001-07-12,21.99,,
2001-07-13,21.67,,
2001-07-16,20.67,,
2001-07-17,21.1,,
2001-07-18,20.38,,
2001-07-19,20.72,,
2001-07-20,20.67,,
2001-07-23,19.82,,
2001-07-24,19.64,,
2001-07-25,19.91,,
2001-07-26,20.89,,
2001-07-27,21.53,,
2001-07-30,21.04,,
2001-07-31,20.46,,
2001-08-01,22.71,,
2001-08-02,22.71,,
2001-08-03,22.39,,
2001-08-06,22.05,,
2001-08-07,22.2,,
2001-08-08,20.71,,
2001-08-09,20.49,,
2001-08-10,20.45,,
2001-08-13,20.69,,
2001-08-14,21.13,,
2001-08-15,19.92,,
2001-08-16,19.67,,
2001-08-17,18.92,,
2001-08-20,18.66,,
2001-08-21,18.92,,
2001-08-22,18.87,,
2001-08-23,18.72,,
2001-08-24,19.88,,
2001-08-27,19.43,,
2001-08-28,19.67,,
2001-08-29,19.42,,
2001-08-30,18.63,,
2001-08-31,18.96,,
2001-09-04,18.48,,
2001-09-05,17.6,,
2001-09-06,17.17,,
2001-09-07,16.7,,
2001-09-10,16.49,,
2001-09-17,15.56,,
2001-09-18,15.54,,
2001-09-19,16.27,,
2001-09-20,14.89,,
2001-09-21,14.41,,
2001-09-24,15.02,,
2001-09-25,14.15,,
2001-09-26,13.81,,
2001-09-27,13.76,,
2001-09-28,13.98,,
2001-10-01,13.49,,
2001-10-02,14.36,,
2001-10-03,15.2,,
2001-10-04,15.52,,
2001-10-05,15.09,,
2001-10-08,15.32,,
2001-10-09,14.86,,
2001-10-10,15.69,,
2001-10-11,17.25,,
2001-10-12,16.71,,
2001-10-15,16.62,,
2001-10-16,17.03,,
2001-10-17,16.9,,
2001-10-18,16.24,,
2001-10-19,16.71,,
2001-10-22,16.89,,
2001-10-23,17.06,,
2001-10-24,17.32,,
2001-10-25,17.26,,
2001-10-26,17.41,,
2001-10-29,16.4,,
2001-10-30,15.88,,
2001-10-31,15.93,18.934585152838427,-0.15868238615135533
2001-11-01,16.38,19.22458515283843,-0.14796600968101714
2001-11-02,16.67,20.06458515283843,-0.1691829223968886
2001-11-05,17.51,20.784585152838428,-0.15754873762256616
2001-11-06,18.23,20.22458515283843,-0.09862180795132391
2001-11-07,17.67,20.254585152838427,-0.12760494146562307
2001-11-08,17.7,20.29458515283843,-0.1278461783425786
2001-11-09,17.74,20.184585152838427,-0.12111148851105624
2001-11-12,17.63,20.40458515283843,-0.13597851326335175
2001-11-13,17.85,20.65458515283843,-0.13578511173597752
2001-11-14,18.1,20.45458515283843,-0.11511282850494231
2001-11-15,17.9,19.81458515283843,-0.09662504352578727
2001-11-16,17.26,20.01458515283843,-0.13762889072161344
2001-11-19,17.46,19.56458515283843,-0.10757116168819425
2001-11-20,17.01,19.95458515283843,-0.14756433823529413
2001-11-21,17.4,20.504585152838427,-0.15140931307301597
2001-11-23,17.95,21.33458515283843,-0.15864312001342717
2001-11-26,18.78,21.864585152838426,-0.14107677466901258
2001-11-27,19.31,21.83458515283843,-0.11562322504259903
2001-11-28,19.28,21.984585152838427,-0.12302188711026174
2001-11-29,19.43,22.06458515283843,-0.11940333954112492
2001-11-30,19.51,22.234585152838427,-0.1225381599930867
2001-12-03,19.68,22.694585152838428,-0.1328327939257965
2001-12-04,20.14,23.964585152838428,-0.1595932134208229
2001-12-05,21.41,23.844585152838427,-0.10210222309313766
2001-12-06,21.29,24.124585152838428,-0.11749777809152995
2001-12-07,21.57,23.97458515283843,-0.1002972580133985
2001-12-10,21.42,23.504585152838427,-0.08868844692571354
2001-12-11,20.95,24.524585152838426,-0.145755173046208
2001-12-12,21.97,22.95458515283843,-0.04289274435947199
2001-12-13,20.4,23.17458515283843,-0.1197253428503594
2001-12-14,20.62,23.234585152838427,-0.11252988317370571
2001-12-17,20.68,23.17458515283843,-0.10764314167379563
2001-12-18,20.62,22.97458515283843,-0.10248651443212364
2001-12-19,20.42,22.364585152838426,-0.08694930576843829
2001-12-20,19.81,22.54458515283843,-0.12129676080972984
2001-12-21,19.99,22.944585152838428,-0.1287704760472832
2001-12-24,20.39,22.65458515283843,-0.09996144875575863
2001-12-26,20.1,23.184585152838427,-0.13304465585664305
2001-12-27,20.63,23.26458515283843,-0.11324445011722006
2001-12-28,20.71,22.944585152838428,-0.0973905232085659
2001-12-31,20.39,23.47458515283843,-0.1314010506577773
2002-01-02,20.92,24.804585152838428,-0.1566075436820562
2002-01-03,22.25,26.004585152838427,-0.14438165926398594
2002-01-04,23.45,25.90458515283843,-0.09475485279367524
2002-01-07,23.35,25.984585152838427,-0.10139031034523316
2002-01-08,23.43,25.42458515283843,-0.07845104023715999
2002-01-09,22.87,25.24458515283843,-0.09406314813501448
2002-01-10,22.69,24.754585152838427,-0.08340213096246107
2002-01-11,22.2,24.31458515283843,-0.08696776603616363
2002-01-14,21.76,24.33458515283843,-0.105799426481619
2002-01-15,21.78,23.194585152838428,-0.06098773241759481
2002-01-16,20.64,23.56458515283843,-0.12410934178852506
2002-01-17,21.01,22.92458515283843,-0.083516676095723
2002-01-18,20.37,21.984585152838427,-0.07344169296867387
2002-01-22,19.43,22.58458515283843,-0.13967868488573765
2002-01-23,20.03,23.144585152838427,-0.13457079192695998
2002-01-24,20.59,23.344585152838427,-0.11799674891646128
2002-01-25,20.79,23.74458515283843,-0.12443195506766891
2002-01-28,21.19,23.47458515283843,-0.09732164116911723
2002-01-29,20.92,23.614585152838426,-0.11410681726562288
2002-01-30,21.06,24.26458515283843,-0.1320684088622699
2002-01-31,21.71,25.90570194384449,-0.16196055806321974
2002-02-01,21.18,25.165701943844493,-0.15837833384255717
2002-02-04,20.44,24.15570194384449,-0.153822975315828
2002-02-05,19.43,24.025701943844492,-0.19128273357365677
2002-02-06,19.3,23.605701943844494,-0.18240092813538478
2002-02-07,18.88,23.305701943844493,-0.18989781790345994
2002-02-08,18.58,23.855701943844494,-0.2211505641822369
2002-02-11,19.13,23.435701943844492,-0.18372404437305145
2002-02-12,18.71,23.935701943844492,-0.21832248563691603
2002-02-13,19.21,24.255701943844493,-0.2080212708552419
2002-02-14,19.53,24.395701943844493,-0.1994491470278109
2002-02-15,19.67,23.355701943844494,-0.15780737195166494
2002-02-19,18.63,25.365701943844492,-0.2655436840958012
2002-02-20,20.64,24.865701943844492,-0.16994098752521103
2002-02-21,20.14,24.935701943844492,-0.19232271682764224
2002-02-22,20.21,25.465701943844493,-0.20638354895671307
2002-02-25,20.74,25.97570194384449,-0.2015615191136425
2002-02-26,21.25,26.645701943844493,-0.2024980222032008
2002-02-27,21.92,27.005701943844493,-0.18831956134373662
2002-02-28,22.28,28.325701943844493,-0.21343520297678953
2002-03-01,23.6,29.735701943844493,-0.20634125118121271
2002-03-04,25.01,29.685701943844492,-0.15750686821182025
2002-03-05,24.96,29.345701943844492,-0.1494495497922288
2002-03-06,24.62,29.615701943844492,-0.1686842322129335
2002-03-07,24.89,30.54570194384449,-0.18515540923701757
2002-03-08,25.82,30.625701943844494,-0.15691728315831788
2002-03-11,25.9,30.485701943844493,-0.1504213992609219
2002-03-12,25.76,30.255701943844493,-0.1485902377075452
2002-03-13,25.53,30.235701943844493,-0.15563395725305784
2002-03-14,25.51,31.415701943844493,-0.18798567526522003
2002-03-15,26.69,31.235701943844493,-0.14552904724269522
2002-03-18,26.51,30.90570194384449,-0.14222948088451315
2002-03-19,26.18,29.305701943844493,-0.10665849089142976
2002-03-20,24.58,29.985701943844493,-0.18027598466655825
2002-03-21,25.26,29.31570194384449,-0.13834572174370463
2002-03-22,24.59,28.605701943844494,-0.14038117126884941
2002-03-25,23.88,28.705701943844492,-0.16810952588042505
2002-03-26,23.98,28.505701943844493,-0.158764795645447
2002-03-27,23.78,29.735701943844493,-0.20028792174106946
2002-03-28,25.01,30.855701943844494,-0.18945289121872244
2002-04-01,26.13,30.265701943844494,-0.13664649019269226
2002-04-02,25.54,29.79570194384449,-0.14282939035519782
2002-04-03,25.07,29.145701943844493,-0.13983886720921035
2002-04-04,24.42,28.965701943844493,-0.1569339473511533
2002-04-05,24.24,29.185701943844492,-0.16945633013591377
2002-04-08,24.46,28.185701943844492,-0.13218411062698943
2002-04-09,23.46,28.455701943844492,-0.17556066456217423
2002-04-10,23.73,27.72570194384449,-0.1441154475344706
2002-04-11,23.0,27.865701943844492,-0.17461257403994168
2002-04-12,23.14,27.92570194384449,-0.17137266427422337
2002-04-15,23.2,28.97570194384449,-0.19932914671188717
2002-04-16,24.25,29.735701943844493,-0.1844820059806953
2002-04-17,25.01,29.47570194384449,-0.15150451556174316
2002-04-18,24.75,29.765701943844494,-0.16850608641136833
2002-04-19,25.04,28.865701943844492,-0.13253451973165375
2002-04-22,24.14,27.83570194384449,-0.13276841199478884
2002-04-23,23.11,26.99570194384449,-0.14393779987375
2002-04-24,22.27,26.865701943844492,-0.17106204607832576
2002-04-25,22.14,26.15570194384449,-0.15353065088698759
2002-04-26,21.43,25.935701943844492,-0.17372585301913768
2002-04-29,21.21,26.215701943844493,-0.19094289195715552
2002-04-30,21.49,26.586810344827587,-0.19170446844591738
2002-05-01,21.77,25.636810344827587,-0.15083039944583998
2002-05-02,20.82,25.206810344827588,-0.17403274293003745
2002-05-03,20.39,24.736810344827585,-0.1757223459384485
2002-05-06,19.92,24.706810344827588,-0.19374456993918332
2002-05-07,19.89,26.306810344827586,-0.24392202097922722
2002-05-08,21.49,25.376810344827586,-0.15316386464699316
2002-05-09,20.56,24.806810344827586,-0.171195340545387
2002-05-10,19.99,25.176810344827587,-0.20601538772337713
2002-05-13,20.36,27.026810344827584,-0.24667396040330325
2002-05-14,22.21,26.096810344827585,-0.14893813816591395
2002-05-15,21.28,25.986810344827585,-0.1811230498230202
2002-05-16,21.17,26.286810344827586,-0.19465314649079934
2002-05-17,21.47,25.846810344827585,-0.16933657524606183
2002-05-20,21.03,25.226810344827587,-0.16636309891980006
2002-05-21,20.41,24.926810344827587,-0.18120290090644686
2002-05-22,20.11,24.726810344827587,-0.18671273328196747
2002-05-23,19.91,24.346810344827585,-0.1822337415862022
2002-05-24,19.53,24.226810344827587,-0.19386829211012302
2002-05-28,19.41,23.916810344827585,-0.18843693117306748
2002-05-29,19.1,23.506810344827585,-0.18746951543756563
2002-05-30,18.69,23.676810344827587,-0.21062002322948026
2002-05-31,18.86,23.076810344827585,-0.18272934091919413
2002-06-03,18.26,23.046810344827588,-0.2076994722135982
2002-06-04,18.23,22.766810344827586,-0.19927298888657485
2002-06-05,17.95,22.436810344827585,-0.19997540986755902
2002-06-06,17.62,21.766810344827586,-0.19051070318224117
2002-06-07,16.95,22.506810344827585,-0.24689461810409874
2002-06-10,17.69,22.886810344827587,-0.22706573203207692
2002-06-11,18.07,22.466810344827586,-0.19570247299656574
2002-06-12,17.65,21.986810344827585,-0.19724599779648455
2002-06-13,17.17,21.626810344827586,-0.20607802416381316
2002-06-14,16.81,22.846810344827585,-0.2642298970278052
2002-06-17,18.03,22.896810344827585,-0.21255407506692314
2002-06-18,18.08,22.196810344827586,-0.18546855520558647
2002-06-19,17.38,21.986810344827585,-0.20952608734860634
2002-06-20,17.17,21.956810344827588,-0.21801027879968116
2002-06-21,17.14,22.096810344827585,-0.22432243692528564
2002-06-24,17.28,21.666810344827585,-0.20246682714305597
2002-06-25,16.85,21.416810344827585,-0.21323485016201416
2002-06-26,16.6,22.146810344827585,-0.25045639794007846
2002-06-27,17.33,21.736810344827585,-0.20273491257084164
2002-06-28,16.92,21.366810344827588,-0.20811764943212763
2002-07-01,16.55,20.516810344827586,-0.19334439799155445
2002-07-02,15.7,21.266810344827586,-0.2617604734591298
2002-07-03,16.45,21.946810344827586,-0.25046055706783255
2002-07-05,17.13,21.266810344827586,-0.19451954843024788
2002-07-08,16.45,21.016810344827586,-0.2172932176623803
2002-07-09,16.2,20.616810344827588,-0.21423344692772484
2002-07-10,15.8,21.666810344827585,-0.27077406648497016
2002-07-11,16.85,21.886810344827587,-0.230129939697582
2002-07-12,17.07,21.676810344827587,-0.21252251929799448
2002-07-15,16.86,21.476810344827587,-0.21496722607784668
2002-07-16,16.66,21.066810344827587,-0.2091826086956522
2002-07-17,16.25,20.356810344827586,-0.20174134725733572
2002-07-18,15.54,19.656810344827587,-0.20943430152750442
2002-07-19,14.84,19.116810344827588,-0.22371987102883817
2002-07-22,14.3,18.936810344827585,-0.24485698807740797
2002-07-23,14.12,18.366810344827588,-0.23122198493346802
2002-07-24,13.55,16.826810344827585,-0.19473746228053535
2002-07-25,12.01,17.196810344827586,-0.3016146739321145
2002-07-26,12.38,17.916810344827585,-0.309028796882142
2002-07-29,13.1,18.066810344827587,-0.2749135154479304
2002-07-30,13.25,18.326810344827585,-0.2770154898372932
2002-07-31,13.51,17.226881720430107,-0.21576056425940948
2002-08-01,12.7,16.57688172043011,-0.2338727986248501
2002-08-02,12.05,15.746881720430107,-0.23476912991819499
2002-08-05,11.22,16.16688172043011,-0.30598861338725125
2002-08-06,11.64,16.59688172043011,-0.29866343593497935
2002-08-07,12.07,16.82688172043011,-0.2826953798964791
2002-08-08,12.3,16.48688172043011,-0.25395231138474383
2002-08-09,11.96,16.296881720430108,-0.2661172729132164
2002-08-12,11.77,15.896881720430107,-0.259603222380801
2002-08-13,11.37,15.996881720430107,-0.28923647753930537
2002-08-14,11.47,15.996881720430107,-0.2829852592239078
2002-08-15,11.47,15.946881720430108,-0.28073712459374534
2002-08-16,11.42,16.996881720430107,-0.3281120509138299
2002-08-19,12.47,16.116881720430108,-0.22627712877034034
2002-08-20,11.59,16.726881720430107,-0.3071033684751864
2002-08-21,12.2,16.696881720430106,-0.26932464371043463
2002-08-22,12.17,15.986881720430107,-0.238750857557944
2002-08-23,11.46,16.116881720430108,-0.28894433806801123
2002-08-26,11.59,15.476881720430107,-0.25114114009796085
2002-08-27,10.95,15.146881720430107,-0.2770789260715858
2002-08-28,10.62,14.686881720430108,-0.2769057311037574
2002-08-29,10.16,14.136881720430107,-0.281312512835335
2002-08-30,9.61,13.716881720430107,-0.29940345073569186
2002-09-03,9.19,14.186881720430108,-0.352218466249299
2002-09-04,9.66,14.336881720430107,-0.3262133155332888
2002-09-05,9.81,14.646881720430107,-0.3302328654489928
2002-09-06,10.12,15.066881720430107,-0.3283281711651276
2002-09-09,10.54,15.446881720430108,-0.31766163613075693
2002-09-10,10.92,15.566881720430107,-0.2985107617495095
2002-09-11,11.04,15.446881720430108,-0.2852926435373393
2002-09-12,10.92,15.246881720430107,-0.28378797709385306
2002-09-13,10.72,14.966881720430107,-0.28375193976665325
2002-09-16,10.44,15.086881720430107,-0.3080080964734726
2002-09-17,10.56,15.076881720430107,-0.2995899154869307
2002-09-18,10.55,14.586881720430107,-0.27674740892538585
2002-09-19,10.06,14.516881720430108,-0.3070137104002014
2002-09-20,9.99,14.076881720430107,-0.2903257839055875
2002-09-23,9.55,13.966881720430107,-0.31623964524374093
2002-09-24,9.44,14.586881720430107,-0.35284317917115093
2002-09-25,10.06,14.386881720430107,-0.3007518796992481
2002-09-26,9.86,13.886881720430107,-0.28997739028091807
2002-09-27,9.36,13.866881720430108,-0.32501046819993495
2002-09-30,9.34,13.856881720430108,-0.3259666793410363
2002-10-01,9.33,13.466881720430107,-0.3071892815509174
2002-10-02,8.94,13.326881720430107,-0.3291754074552202
2002-10-03,8.8,12.966881720430107,-0.32134801645216926
2002-10-04,8.44,12.766881720430108,-0.33891453020247286
2002-10-07,8.24,13.276881720430108,-0.3793723425794695
2002-10-08,8.75,12.326881720430107,-0.2901692254012561
2002-10-09,7.8,12.286881720430108,-0.3651766023733679
2002-10-10,7.76,12.326881720430107,-0.37048150732728535
2002-10-11,7.8,12.406881720430107,-0.3713166470221174
2002-10-14,7.88,13.016881720430108,-0.39463228066117617
2002-10-15,8.49,12.576881720430107,-0.32495190869063395
2002-10-16,8.05,13.186881720430108,-0.38954483928309336
2002-10-17,8.66,13.186881720430108,-0.34328674635920353
2002-10-18,8.66,13.486881720430107,-0.35789456899575844
2002-10-21,8.96,13.326881720430107,-0.32767468129740185
2002-10-22,8.8,13.106881720430108,-0.32859697770193774
2002-10-23,8.58,13.856881720430108,-0.3808130737415515
2002-10-24,9.33,13.786881720430108,-0.32326974371773076
2002-10-25,9.26,14.196881720430108,-0.34774409040301146
2002-10-28,9.67,13.626881720430108,-0.29037323443541385
2002-10-29,9.1,14.446881720430108,-0.3701062847956177
2002-10-30,9.92,14.366881720430108,-0.30952309672783884
2002-10-31,9.84,14.395591397849463,-0.31645739809828277
2002-11-01,10.43,14.715591397849462,-0.2912279419823901
2002-11-04,10.75,14.745591397849463,-0.2709685417183193
2002-11-05,10.78,14.665591397849463,-0.26494611041865246
2002-11-06,10.7,14.125591397849462,-0.24250959137689543
2002-11-07,10.16,14.015591397849462,-0.275093022363727
2002-11-08,10.05,13.655591397849463,-0.2640377331747994
2002-11-11,9.69,13.835591397849463,-0.29963239580014145
2002-11-12,9.87,13.555591397849462,-0.271887171107427
2002-11-13,9.59,13.965591397849462,-0.3133122882660917
2002-11-14,10.0,13.835591397849463,-0.27722641465442877
