date,LEN,dcf,Deviation
1981-06-08,3.22,,
1981-06-09,3.18,,
1981-06-10,3.26,,
1981-06-11,3.24,,
1981-06-12,3.24,,
1981-06-15,3.26,,
1981-06-16,3.22,,
1981-06-17,3.22,,
1981-06-18,3.22,,
1981-06-19,3.11,,
1981-06-22,3.07,,
1981-06-23,3.07,,
1981-06-24,2.99,,
1981-06-25,2.97,,
1981-06-26,3.01,,
1981-06-29,3.01,,
1981-06-30,3.07,,
1981-07-01,2.95,,
1981-07-02,2.93,,
1981-07-06,2.85,,
1981-07-07,2.87,,
1981-07-08,2.81,,
1981-07-09,2.83,,
1981-07-10,2.81,,
1981-07-13,2.91,,
1981-07-14,2.85,,
1981-07-15,2.89,,
1981-07-16,2.81,,
1981-07-17,2.75,,
1981-07-20,2.54,,
1981-07-21,2.54,,
1981-07-22,2.54,,
1981-07-23,2.52,,
1981-07-24,2.52,,
1981-07-27,2.58,,
1981-07-28,2.58,,
1981-07-29,2.62,,
1981-07-30,2.62,,
1981-07-31,2.66,,
1981-08-03,2.62,,
1981-08-04,2.58,,
1981-08-05,2.58,,
1981-08-06,2.48,,
1981-08-07,2.44,,
1981-08-10,2.4,,
1981-08-11,2.46,,
1981-08-12,2.66,,
1981-08-13,2.58,,
1981-08-14,2.64,,
1981-08-17,2.58,,
1981-08-18,2.52,,
1981-08-19,2.54,,
1981-08-20,2.48,,
1981-08-21,2.44,,
1981-08-24,2.23,,
1981-08-25,2.15,,
1981-08-26,2.25,,
1981-08-27,2.29,,
1981-08-28,2.25,,
1981-08-31,2.36,,
1981-09-01,2.31,,
1981-09-02,2.31,,
1981-09-03,2.27,,
1981-09-04,2.29,,
1981-09-08,2.13,,
1981-09-09,2.17,,
1981-09-10,2.13,,
1981-09-11,2.25,,
1981-09-14,2.27,,
1981-09-15,2.27,,
1981-09-16,2.25,,
1981-09-17,2.21,,
1981-09-18,2.17,,
1981-09-21,2.13,,
1981-09-22,2.17,,
1981-09-23,2.09,,
1981-09-24,2.07,,
1981-09-25,1.91,,
1981-09-28,1.97,,
1981-09-29,1.99,,
1981-09-30,1.84,,
1981-10-01,1.8,,
1981-10-02,2.01,,
1981-10-05,2.11,,
1981-10-06,2.19,,
