date,LRCX,dcf,Deviation
1985-08-30,2.08,,
1985-09-03,2.06,,
1985-09-04,2.0,,
1985-09-05,2.06,,
1985-09-06,1.97,,
1985-09-09,1.97,,
1985-09-10,1.78,,
1985-09-11,1.69,,
1985-09-12,1.75,,
1985-09-13,1.69,,
1985-09-16,1.72,,
1985-09-17,1.72,,
1985-09-18,1.67,,
1985-09-19,1.69,,
1985-09-20,1.86,,
1985-09-23,1.92,,
1985-09-24,1.83,,
1985-09-25,1.78,,
1985-09-26,1.75,,
1985-09-30,1.75,,
1985-10-01,1.75,,
1985-10-02,1.69,,
1985-10-03,1.64,,
1985-10-04,1.61,,
1985-10-07,1.56,,
1985-10-08,1.53,,
1985-10-09,1.44,,
1985-10-10,1.53,,
1985-10-11,1.56,,
1985-10-14,1.61,,
1985-10-15,1.58,,
1985-10-16,1.64,,
1985-10-17,1.64,,
1985-10-18,1.72,,
1985-10-21,1.75,,
1985-10-22,1.86,,
1985-10-23,1.83,,
1985-10-24,1.92,,
1985-10-25,1.94,,
1985-10-28,1.89,,
1985-10-29,1.86,,
1985-10-30,1.89,,
1985-10-31,1.89,,
1985-11-01,1.86,,
1985-11-04,1.81,,
1985-11-05,1.81,,
1985-11-06,1.78,,
1985-11-07,1.78,,
1985-11-08,1.75,,
1985-11-11,1.81,,
1985-11-12,1.72,,
1985-11-13,1.72,,
1985-11-14,1.78,,
1985-11-15,1.81,,
1985-11-18,1.78,,
1985-11-19,1.81,,
1985-11-20,1.92,,
1985-11-21,1.94,,
1985-11-22,1.94,,
1985-11-25,1.94,,
1985-11-26,1.97,,
1985-11-27,1.97,,
1985-11-29,1.97,,
1985-12-02,1.97,,
1985-12-03,2.0,,
1985-12-04,2.08,,
1985-12-05,2.06,,
1985-12-06,2.03,,
1985-12-09,2.03,,
1985-12-10,1.97,,
1985-12-11,2.0,,
1985-12-12,2.0,,
1985-12-13,2.0,,
1985-12-16,2.0,,
1985-12-17,2.0,,
1985-12-18,2.0,,
1985-12-19,2.0,,
1985-12-20,2.0,,
1985-12-23,1.97,,
1985-12-24,2.03,,
1985-12-26,2.0,,
1985-12-27,2.14,,
1985-12-30,2.22,,
1985-12-31,2.25,,
1986-01-02,2.28,,
1986-01-03,2.28,,
1986-01-06,2.22,,
1986-01-07,2.22,,
1986-01-08,2.22,,
1986-01-09,2.25,,
1986-01-10,2.19,,
1986-01-13,2.17,,
1986-01-14,2.25,,
1986-01-15,2.19,,
1986-01-16,2.19,,
1986-01-17,2.28,,
1986-01-20,2.22,,
1986-01-21,2.25,,
1986-01-22,2.25,,
1986-01-23,2.19,,
1986-01-24,2.06,,
1986-01-27,2.06,,
1986-01-28,2.19,,
1986-01-29,2.25,,
1986-01-30,2.22,,
1986-01-31,2.19,,
1986-02-03,2.25,,
1986-02-04,2.33,,
1986-02-05,2.28,,
1986-02-06,2.36,,
1986-02-07,2.44,,
1986-02-10,2.53,,
1986-02-11,2.61,,
1986-02-12,2.69,,
1986-02-13,2.72,,
1986-02-14,2.69,,
1986-02-18,2.69,,
1986-02-19,2.67,,
1986-02-20,2.69,,
1986-02-21,2.69,,
1986-02-24,2.67,,
1986-02-25,2.67,,
1986-02-26,2.64,,
1986-02-27,2.67,,
1986-02-28,2.64,,
1986-03-03,2.64,,
1986-03-04,2.56,,
1986-03-05,2.5,,
1986-03-06,2.42,,
1986-03-07,2.44,,
1986-03-10,2.44,,
1986-03-11,2.44,,
1986-03-12,2.47,,
1986-03-13,2.47,,
1986-03-14,2.5,,
1986-03-17,2.39,,
1986-03-18,2.5,,
1986-03-19,2.56,,
1986-03-20,2.61,,
1986-03-21,2.61,,
1986-03-24,2.58,,
1986-03-25,2.36,,
1986-03-26,2.39,,
1986-03-27,2.33,,
1986-03-31,2.31,,
1986-04-01,2.31,,
1986-04-02,2.31,,
1986-04-03,2.28,,
1986-04-04,2.31,,
1986-04-07,2.31,,
1986-04-08,2.31,,
1986-04-09,2.31,,
1986-04-10,2.31,,
1986-04-11,2.31,,
1986-04-14,2.36,,
1986-04-15,2.5,,
1986-04-16,2.56,,
1986-04-17,2.56,,
1986-04-18,2.44,,
1986-04-21,2.61,,
1986-04-22,2.69,,
1986-04-23,2.75,,
1986-04-24,2.72,,
1986-04-25,2.72,,
1986-04-28,2.78,,
1986-04-29,2.81,,
1986-04-30,2.75,,
1986-05-01,2.75,,
1986-05-02,2.78,,
1986-05-05,2.75,,
1986-05-06,2.75,,
1986-05-07,2.81,,
1986-05-08,2.92,,
1986-05-09,3.0,,
1986-05-12,3.0,,
1986-05-13,3.03,,
1986-05-14,2.97,,
1986-05-15,2.89,,
1986-05-16,2.86,,
1986-05-19,2.86,,
1986-05-20,2.86,,
1986-05-21,2.92,,
1986-05-22,2.92,,
1986-05-23,2.92,,
1986-05-27,2.86,,
1986-05-28,2.92,,
1986-05-29,2.92,,
1986-05-30,2.86,,
1986-06-02,2.58,,
1986-06-03,2.56,,
1986-06-04,2.42,,
1986-06-05,2.5,,
1986-06-06,2.53,,
1986-06-09,2.36,,
1986-06-10,2.36,,
1986-06-11,2.36,,
1986-06-12,2.31,,
1986-06-13,2.17,,
1986-06-16,2.08,,
1986-06-17,2.03,,
1986-06-18,2.0,,
1986-06-19,2.19,,
1986-06-20,2.08,,
1986-06-23,2.08,,
1986-06-24,1.92,,
1986-06-25,1.94,,
1986-06-26,1.89,,
1986-06-27,1.89,,
1986-06-30,1.92,,
1986-07-01,1.83,,
1986-07-02,1.92,,
1986-07-03,1.92,,
1986-07-07,1.86,,
1986-07-08,1.83,,
1986-07-09,1.89,,
1986-07-10,1.83,,
1986-07-11,1.86,,
1986-07-14,1.92,,
1986-07-15,1.78,,
1986-07-16,1.72,,
1986-07-17,1.72,,
1986-07-18,1.78,,
1986-07-21,1.72,,
1986-07-22,1.72,,
1986-07-23,1.78,,
1986-07-24,1.53,,
1986-07-25,1.58,,
1986-07-28,1.61,,
1986-07-29,1.58,,
1986-07-30,1.56,,
1986-07-31,1.56,,
1986-08-01,1.53,,
1986-08-04,1.5,,
1986-08-05,1.5,,
1986-08-06,1.56,,
1986-08-07,1.5,,
1986-08-08,1.56,,
1986-08-11,1.56,,
1986-08-12,1.58,,
1986-08-13,1.61,,
1986-08-14,1.61,,
1986-08-15,1.67,,
1986-08-18,1.64,,
1986-08-19,1.67,,
1986-08-20,1.72,,
1986-08-21,1.75,,
1986-08-22,1.81,,
1986-08-25,1.75,,
1986-08-26,1.78,,
1986-08-27,1.78,,
1986-08-28,1.78,,
1986-08-29,1.78,,
1986-09-02,1.69,,
1986-09-03,1.64,,
1986-09-04,1.69,,
1986-09-05,1.56,,
1986-09-08,1.56,,
1986-09-09,1.5,,
1986-09-10,1.44,,
1986-09-11,1.19,,
1986-09-12,1.17,,
1986-09-15,1.11,,
1986-09-16,1.14,,
1986-09-17,1.11,,
1986-09-18,1.11,,
1986-09-19,1.11,,
1986-09-22,1.11,,
1986-09-23,1.06,,
1986-09-24,0.89,,
1986-09-25,1.03,,
1986-09-26,1.03,,
1986-09-29,1.06,,
1986-09-30,1.17,,
1986-10-01,1.14,,
1986-10-02,1.14,,
1986-10-03,1.08,,
