date,INFO,dcf,Deviation
2016-11-17,35.4,35.663243243243244,-0.007381360170968687
2016-11-18,34.94,36.543243243243246,-0.043872494637970716
2016-11-21,35.82,36.733243243243244,-0.02486149227814849
2016-11-22,36.01,36.193243243243245,-0.005062913041855022
2016-11-23,35.47,36.193243243243245,-0.019982824926259246
2016-11-25,35.47,36.543243243243246,-0.029369129502255897
2016-11-28,35.82,36.36324324324325,-0.014939350695683307
2016-11-29,35.64,36.663243243243244,-0.027909239683311937
2016-11-30,35.94,35.549140056908,0.01099491977770195
2016-12-01,35.11,35.319140056908,-0.005921436834844251
2016-12-02,34.88,35.339140056908,-0.012992394726318413
2016-12-05,34.9,35.559140056908,-0.018536445365470833
2016-12-06,35.12,35.719140056907996,-0.01677364169331752
2016-12-07,35.28,36.159140056908,-0.024313079778014335
2016-12-08,35.72,36.139140056908,-0.011597953250906956
2016-12-09,35.7,36.199140056908,-0.013788726917913219
2016-12-12,35.76,35.859140056908,-0.0027647081539229346
2016-12-13,35.42,34.929140056908,0.014053021124833753
2016-12-14,34.49,35.129140056908,-0.0181940137410882
2016-12-15,34.69,35.199140056908,-0.014464559534262844
2016-12-16,34.76,35.019140056908,-0.0073999548957194294
2016-12-19,34.58,35.649140056907996,-0.029990626848257484
2016-12-20,35.21,35.84914005690799,-0.01782860218943605
2016-12-21,35.41,35.929140056908,-0.014448997557017451
2016-12-22,35.49,35.829140056907995,-0.009465481347565974
2016-12-23,35.39,35.739140056908,-0.009769123049744866
2016-12-27,35.3,35.699140056908,-0.0111806630712038
2016-12-28,35.26,35.549140056908,-0.008133531681642325
2016-12-29,35.11,35.84914005690799,-0.020618069380036963
2016-12-30,35.41,36.359140056908,-0.026104579355354374
2017-01-03,35.92,36.639140056908,-0.019627645621349887
2017-01-04,36.2,36.729140056908,-0.01440654630323912
2017-01-05,36.29,37.09914005690799,-0.021810210578110945
2017-01-06,36.66,37.009140056908,-0.009433887314623912
2017-01-09,36.57,37.049140056908,-0.012932555416186098
2017-01-10,36.61,37.209140056908005,-0.016101959249573472
2017-01-11,36.77,37.239140056908,-0.01259803680189897
2017-01-12,36.8,37.469140056907996,-0.017858431122030338
2017-01-13,37.03,38.769140056908,-0.044858876270022274
2017-01-17,38.33,39.039140056907996,-0.018164848300302516
2017-01-18,38.6,38.609140056908,-0.00023673298329163206
2017-01-19,38.17,39.229140056908,-0.026998808930594698
2017-01-20,38.79,39.189140056908,-0.010184965945371549
2017-01-23,38.75,39.439140056908,-0.017473506164526365
2017-01-24,39.0,40.229140056908,-0.030553475793150486
2017-01-25,39.79,39.899140056907996,-0.002735398726697591
2017-01-26,39.46,39.899140056907996,-0.01100625367568453
2017-01-27,39.46,40.079140056907995,-0.015447937656069555
2017-01-30,39.64,39.889140056908,-0.0062458116808875586
2017-01-31,39.45,39.889140056908,-0.011009012886251557
2017-02-01,39.45,39.879140056908,-0.01076101581668032
2017-02-02,39.44,40.139140056908,-0.017417913186898892
2017-02-03,39.7,39.969140056907996,-0.0067336964599385984
2017-02-06,39.53,39.949140056908,-0.010491841784602385
2017-02-07,39.51,40.149140056907996,-0.015919146860980615
2017-02-08,39.71,40.179140056908,-0.011676209501834234
2017-02-09,39.74,40.109140056908,-0.009203389960100061
2017-02-10,39.67,40.369140056908,-0.017318675996625843
2017-02-13,39.93,40.409140056908,-0.011857219832771215
2017-02-14,39.97,40.839140056908,-0.0212820361960826
2017-02-15,40.4,40.439140056908,-0.000967875599058865
2017-02-16,40.0,40.639140056908,-0.015727204266945516
2017-02-17,40.2,40.949140056908,-0.018294402663081577
2017-02-21,40.51,40.699140056908,-0.004647274036835514
2017-02-22,40.26,40.779140056908005,-0.012730529780263566
2017-02-23,40.34,40.519140056908,-0.004421121886012402
2017-02-24,40.08,40.539140056907996,-0.011325845991391748
2017-02-27,40.1,40.239140056908,-0.0034578287883691994
2017-02-28,39.8,41.016650876361915,-0.02966236517041132
2017-03-01,40.65,40.986650876361914,-0.008213671260368094
2017-03-02,40.62,41.13665087636191,-0.012559381120128887
2017-03-03,40.77,41.03665087636191,-0.006497871309364189
2017-03-06,40.67,40.92665087636191,-0.0062709963035393335
2017-03-07,40.56,40.96665087636191,-0.009926388114790963
2017-03-08,40.6,40.63665087636191,-0.0009019167567086983
2017-03-09,40.27,40.486650876361914,-0.005351168142396334
2017-03-10,40.12,40.986650876361914,-0.02114471072487012
2017-03-13,40.62,40.84665087636191,-0.005548823991664897
2017-03-14,40.48,41.13665087636191,-0.01596267227333381
