date,WMB,dcf,Deviation
1990-02-02,4.23,,
1990-02-05,4.27,,
1990-02-06,4.44,,
1990-02-07,4.43,,
1990-02-08,4.38,,
1990-02-09,4.35,,
1990-02-12,4.23,,
1990-02-13,4.18,,
1990-02-14,4.21,,
1990-02-15,4.13,,
1990-02-16,4.08,,
1990-02-20,4.02,,
1990-02-21,3.98,,
1990-02-22,3.87,,
1990-02-23,3.8,,
1990-02-26,3.77,,
1990-02-27,3.8,,
1990-02-28,3.87,,
1990-03-01,3.99,,
1990-03-02,4.07,,
1990-03-05,4.13,,
1990-03-06,4.18,,
1990-03-07,4.07,,
1990-03-08,4.15,,
1990-03-09,4.05,,
1990-03-12,4.08,,
1990-03-13,3.98,,
1990-03-14,3.88,,
1990-03-15,3.99,,
1990-03-16,4.1,,
1990-03-19,4.1,,
1990-03-20,4.1,,
1990-03-21,4.08,,
1990-03-22,3.94,,
1990-03-23,3.87,,
1990-03-26,3.87,,
1990-03-27,3.96,,
1990-03-28,3.98,,
1990-03-29,4.01,,
1990-03-30,4.02,,
1990-04-02,3.94,,
1990-04-03,4.1,,
1990-04-04,4.1,,
1990-04-05,4.02,,
1990-04-06,3.99,,
1990-04-09,3.99,,
1990-04-10,3.99,,
1990-04-11,3.93,,
1990-04-12,3.94,,
1990-04-16,3.93,,
1990-04-17,3.93,,
1990-04-18,3.93,,
1990-04-19,3.88,,
1990-04-20,3.93,,
1990-04-23,3.85,,
1990-04-24,3.8,,
1990-04-25,3.77,,
1990-04-26,3.68,,
1990-04-27,3.76,,
1990-04-30,3.74,,
1990-05-01,3.71,,
1990-05-02,3.62,,
1990-05-03,3.62,,
1990-05-04,3.74,,
1990-05-07,3.88,,
1990-05-08,4.15,,
1990-05-09,4.04,,
1990-05-10,3.98,,
1990-05-11,4.05,,
1990-05-14,4.13,,
1990-05-15,4.1,,
1990-05-16,4.08,,
1990-05-17,4.15,,
1990-05-18,4.23,,
1990-05-21,4.27,,
1990-05-22,4.24,,
1990-05-23,4.26,,
1990-05-24,4.21,,
1990-05-25,4.1,,
1990-05-29,4.13,,
1990-05-30,4.07,,
1990-05-31,3.99,,
1990-06-01,3.98,,
1990-06-04,3.98,,
1990-06-05,4.01,,
1990-06-06,3.98,,
1990-06-07,3.91,,
1990-06-08,3.84,,
1990-06-11,3.9,,
1990-06-12,3.99,,
1990-06-13,3.96,,
1990-06-14,3.96,,
1990-06-15,4.02,,
1990-06-18,3.99,,
1990-06-19,3.96,,
1990-06-20,3.98,,
1990-06-21,3.99,,
1990-06-22,3.91,,
1990-06-25,3.84,,
1990-06-26,3.85,,
1990-06-27,3.84,,
1990-06-28,3.79,,
1990-06-29,3.74,,
1990-07-02,3.73,,
1990-07-03,3.66,,
1990-07-05,3.59,,
1990-07-06,3.55,,
1990-07-09,3.63,,
1990-07-10,3.62,,
1990-07-11,3.51,,
1990-07-12,3.51,,
1990-07-13,3.48,,
1990-07-16,3.54,,
1990-07-17,3.51,,
1990-07-18,3.31,,
1990-07-19,3.35,,
1990-07-20,3.51,,
1990-07-23,3.46,,
1990-07-24,3.41,,
1990-07-25,3.38,,
1990-07-26,3.51,,
1990-07-27,3.54,,
1990-07-30,3.65,,
1990-07-31,3.59,,
1990-08-01,3.59,,
1990-08-02,3.69,,
1990-08-03,3.51,,
1990-08-06,3.37,,
1990-08-07,3.35,,
1990-08-08,3.38,,
1990-08-09,3.37,,
1990-08-10,3.34,,
1990-08-13,3.35,,
1990-08-14,3.37,,
1990-08-15,3.37,,
1990-08-16,3.31,,
1990-08-17,3.1,,
1990-08-20,3.06,,
1990-08-21,2.99,,
1990-08-22,3.02,,
1990-08-23,2.88,,
1990-08-24,2.99,,
1990-08-27,3.15,,
1990-08-28,3.18,,
1990-08-29,3.21,,
1990-08-30,3.16,,
1990-08-31,3.18,,
1990-09-04,3.18,,
1990-09-05,3.24,,
1990-09-06,3.26,,
1990-09-07,3.26,,
1990-09-10,3.21,,
1990-09-11,3.23,,
1990-09-12,3.26,,
1990-09-13,3.23,,
1990-09-14,3.24,,
1990-09-17,3.26,,
1990-09-18,3.26,,
1990-09-19,3.23,,
1990-09-20,3.2,,
1990-09-21,3.16,,
1990-09-24,3.18,,
1990-09-25,3.2,,
1990-09-26,3.23,,
1990-09-27,3.23,,
1990-09-28,3.24,,
1990-10-01,3.27,,
1990-10-02,3.38,,
1990-10-03,3.51,,
1990-10-04,3.65,,
1990-10-05,3.63,,
1990-10-08,3.59,,
1990-10-09,3.37,,
1990-10-10,3.34,,
1990-10-11,3.24,,
1990-10-12,3.34,,
1990-10-15,3.41,,
1990-10-16,3.46,,
1990-10-17,3.35,,
1990-10-18,3.38,,
1990-10-19,3.54,,
1990-10-22,3.55,,
1990-10-23,3.48,,
1990-10-24,3.45,,
1990-10-25,3.43,,
1990-10-26,3.46,,
1990-10-29,3.46,,
1990-10-30,3.49,,
1990-10-31,3.51,,
1990-11-01,3.55,,
1990-11-02,3.59,,
1990-11-05,3.79,,
1990-11-06,3.69,,
1990-11-07,3.59,,
1990-11-08,3.59,,
1990-11-09,3.62,,
1990-11-12,3.6,,
1990-11-13,3.55,,
1990-11-14,3.55,,
1990-11-15,3.55,,
1990-11-16,3.52,,
1990-11-19,3.65,,
1990-11-20,3.52,,
1990-11-21,3.57,,
1990-11-23,3.54,,
1990-11-26,3.49,,
1990-11-27,3.48,,
1990-11-28,3.4,,
1990-11-29,3.38,,
1990-11-30,3.46,,
1990-12-03,3.34,,
1990-12-04,3.35,,
1990-12-05,3.37,,
1990-12-06,3.23,,
1990-12-07,3.23,,
1990-12-10,3.23,,
1990-12-11,3.24,,
1990-12-12,3.4,,
1990-12-13,3.43,,
1990-12-14,3.43,,
1990-12-17,3.38,,
1990-12-18,3.4,,
1990-12-19,3.29,,
1990-12-20,3.24,,
1990-12-21,3.27,,
1990-12-24,3.23,,
1990-12-26,3.29,,
1990-12-27,3.23,,
1990-12-28,3.24,,
1990-12-31,3.23,,
1991-01-02,3.26,,
1991-01-03,3.31,,
1991-01-04,3.29,,
1991-01-07,3.2,,
1991-01-08,3.23,,
1991-01-09,3.21,,
1991-01-10,3.26,,
1991-01-11,3.32,,
1991-01-14,3.27,,
1991-01-15,3.27,,
1991-01-16,3.24,,
1991-01-17,3.31,,
1991-01-18,3.6,,
1991-01-21,3.48,,
1991-01-22,3.41,,
1991-01-23,3.41,,
1991-01-24,3.43,,
1991-01-25,3.37,,
1991-01-28,3.27,,
1991-01-29,3.34,,
1991-01-30,3.24,,
1991-01-31,3.27,,
1991-02-01,3.23,,
1991-02-04,3.26,,
1991-02-05,3.29,,
1991-02-06,3.43,,
1991-02-07,3.41,,
1991-02-08,3.51,,
1991-02-11,3.74,,
1991-02-12,3.71,,
1991-02-13,3.8,,
1991-02-14,3.71,,
1991-02-15,3.68,,
1991-02-19,3.77,,
1991-02-20,3.8,,
1991-02-21,3.87,,
1991-02-22,3.9,,
1991-02-25,3.77,,
1991-02-26,3.9,,
1991-02-27,3.94,,
1991-02-28,3.88,,
1991-03-01,3.9,,
1991-03-04,3.88,,
1991-03-05,3.94,,
1991-03-06,3.96,,
1991-03-07,3.91,,
1991-03-08,3.93,,
1991-03-11,3.93,,
1991-03-12,3.85,,
1991-03-13,3.91,,
1991-03-14,3.79,,
1991-03-15,3.84,,
1991-03-18,3.85,,
1991-03-19,3.84,,
1991-03-20,3.9,,
1991-03-21,3.85,,
1991-03-22,3.84,,
1991-03-25,3.84,,
1991-03-26,3.88,,
1991-03-27,3.96,,
1991-03-28,3.96,,
1991-04-01,3.94,,
1991-04-02,4.01,,
1991-04-03,3.94,,
1991-04-04,3.88,,
1991-04-05,3.88,,
1991-04-08,3.99,,
1991-04-09,3.99,,
1991-04-10,3.98,,
1991-04-11,3.98,,
1991-04-12,4.12,,
1991-04-15,4.1,,
1991-04-16,4.1,,
1991-04-17,4.12,,
1991-04-18,4.18,,
1991-04-19,4.13,,
1991-04-22,4.08,,
1991-04-23,4.12,,
1991-04-24,4.1,,
1991-04-25,4.16,,
1991-04-26,4.24,,
1991-04-29,4.18,,
1991-04-30,4.26,,
1991-05-01,4.3,,
1991-05-02,4.4,,
1991-05-03,4.4,,
1991-05-06,4.4,,
1991-05-07,4.3,,
1991-05-08,4.32,,
1991-05-09,4.41,,
1991-05-10,4.33,,
1991-05-13,4.33,,
1991-05-14,4.29,,
1991-05-15,4.21,,
1991-05-16,4.27,,
1991-05-17,4.32,,
1991-05-20,4.29,,
1991-05-21,4.3,,
1991-05-22,4.35,,
1991-05-23,4.33,,
1991-05-24,4.29,,
1991-05-28,4.29,,
1991-05-29,4.27,,
1991-05-30,4.37,,
1991-05-31,4.37,,
1991-06-03,4.3,,
1991-06-04,4.29,,
1991-06-05,4.18,,
1991-06-06,4.24,,
1991-06-07,4.21,,
1991-06-10,4.19,,
1991-06-11,4.24,,
1991-06-12,4.24,,
1991-06-13,4.15,,
1991-06-14,4.07,,
1991-06-17,4.13,,
1991-06-18,4.23,,
1991-06-19,4.13,,
1991-06-20,3.99,,
1991-06-21,4.12,,
1991-06-24,4.1,,
1991-06-25,4.08,,
1991-06-26,4.07,,
1991-06-27,4.07,,
1991-06-28,3.96,,
1991-07-01,3.98,,
1991-07-02,4.08,,
1991-07-03,4.12,,
1991-07-05,4.18,,
1991-07-08,4.16,,
1991-07-09,4.12,,
1991-07-10,4.05,,
1991-07-11,4.08,,
1991-07-12,4.08,,
1991-07-15,4.07,,
1991-07-16,4.08,,
1991-07-17,4.05,,
1991-07-18,4.1,,
1991-07-19,4.12,,
1991-07-22,4.15,,
1991-07-23,4.18,,
1991-07-24,4.21,,
1991-07-25,4.41,,
1991-07-26,4.33,,
1991-07-29,4.23,,
1991-07-30,4.21,,
1991-07-31,4.16,,
1991-08-01,4.1,,
1991-08-02,4.12,,
1991-08-05,4.13,,
1991-08-06,4.16,,
1991-08-07,4.15,,
1991-08-08,4.18,,
1991-08-09,4.18,,
1991-08-12,4.16,,
1991-08-13,4.19,,
1991-08-14,4.23,,
1991-08-15,4.23,,
1991-08-16,4.19,,
1991-08-19,4.05,,
1991-08-20,4.1,,
1991-08-21,4.21,,
1991-08-22,4.27,,
1991-08-23,4.21,,
1991-08-26,4.23,,
1991-08-27,4.27,,
1991-08-28,4.26,,
1991-08-29,4.21,,
1991-08-30,4.19,,
1991-09-03,4.19,,
1991-09-04,4.23,,
1991-09-05,4.26,,
1991-09-06,4.23,,
1991-09-09,4.24,,
1991-09-10,4.24,,
1991-09-11,4.26,,
1991-09-12,4.37,,
1991-09-13,4.35,,
1991-09-16,4.4,,
1991-09-17,4.43,,
1991-09-18,4.43,,
1991-09-19,4.46,,
1991-09-20,4.41,,
1991-09-23,4.4,,
1991-09-24,4.37,,
1991-09-25,4.37,,
1991-09-26,4.38,,
1991-09-27,4.38,,
1991-09-30,4.46,,
1991-10-01,4.46,,
1991-10-02,4.43,,
1991-10-03,4.37,,
1991-10-04,4.32,,
1991-10-07,4.19,,
1991-10-08,4.21,,
1991-10-09,4.12,,
1991-10-10,4.16,,
1991-10-11,4.24,,
1991-10-14,4.26,,
1991-10-15,4.29,,
1991-10-16,4.24,,
1991-10-17,4.24,,
1991-10-18,4.3,,
1991-10-21,4.33,,
1991-10-22,4.33,,
1991-10-23,4.29,,
1991-10-24,4.24,,
1991-10-25,4.29,,
1991-10-28,4.29,,
1991-10-29,4.38,,
1991-10-30,4.52,,
1991-10-31,4.47,,
1991-11-01,4.44,,
1991-11-04,4.51,,
1991-11-05,4.52,,
1991-11-06,4.57,,
1991-11-07,4.66,,
1991-11-08,4.65,,
1991-11-11,4.6,,
1991-11-12,4.57,,
1991-11-13,4.57,,
1991-11-14,4.6,,
1991-11-15,4.6,,
1991-11-18,4.57,,
1991-11-19,4.49,,
1991-11-20,4.51,,
1991-11-21,4.49,,
1991-11-22,4.4,,
1991-11-25,4.37,,
1991-11-26,4.32,,
1991-11-27,4.32,,
1991-11-29,4.3,,
1991-12-02,4.38,,
1991-12-03,4.35,,
1991-12-04,4.3,,
1991-12-05,4.23,,
1991-12-06,4.24,,
1991-12-09,4.32,,
1991-12-10,4.26,,
1991-12-11,4.27,,
1991-12-12,4.3,,
1991-12-13,4.35,,
1991-12-16,4.38,,
1991-12-17,4.33,,
1991-12-18,4.3,,
1991-12-19,4.3,,
1991-12-20,4.41,,
1991-12-23,4.52,,
1991-12-24,4.55,,
1991-12-26,4.58,,
1991-12-27,4.61,,
1991-12-30,4.88,,
1991-12-31,4.79,,
1992-01-02,4.68,,
1992-01-03,4.65,,
1992-01-06,4.58,,
1992-01-07,4.43,,
1992-01-08,4.55,,
1992-01-09,4.66,,
1992-01-10,4.8,,
1992-01-13,4.71,,
1992-01-14,4.77,,
1992-01-15,4.69,,
1992-01-16,4.66,,
1992-01-17,4.61,,
1992-01-20,4.6,,
1992-01-21,4.57,,
1992-01-22,4.61,,
1992-01-23,4.54,,
1992-01-24,4.55,,
1992-01-27,4.49,,
1992-01-28,4.44,,
1992-01-29,4.4,,
1992-01-30,4.37,,
1992-01-31,4.46,,
1992-02-03,4.44,,
1992-02-04,4.52,,
1992-02-05,4.68,,
1992-02-06,4.71,,
1992-02-07,4.74,,
1992-02-10,4.76,,
1992-02-11,4.85,,
1992-02-12,5.05,,
1992-02-13,5.02,,
1992-02-14,5.04,,
1992-02-18,5.04,,
1992-02-19,4.82,,
1992-02-20,4.77,,
1992-02-21,4.79,,
1992-02-24,4.77,,
1992-02-25,4.72,,
1992-02-26,4.8,,
1992-02-27,4.79,,
1992-02-28,4.85,,
1992-03-02,4.88,,
1992-03-03,4.69,,
1992-03-04,4.57,,
1992-03-05,4.49,,
1992-03-06,4.52,,
1992-03-09,4.37,,
1992-03-10,4.32,,
1992-03-11,4.29,,
1992-03-12,4.37,,
1992-03-13,4.44,,
1992-03-16,4.46,,
1992-03-17,4.51,,
1992-03-18,4.44,,
1992-03-19,4.44,,
1992-03-20,4.47,,
1992-03-23,4.51,,
1992-03-24,4.54,,
1992-03-25,4.54,,
1992-03-26,4.52,,
1992-03-27,4.46,,
1992-03-30,4.51,,
1992-03-31,4.46,,
1992-04-01,4.43,,
1992-04-02,4.41,,
1992-04-03,4.4,,
1992-04-06,4.35,,
1992-04-07,4.24,,
1992-04-08,4.18,,
1992-04-09,4.23,,
1992-04-10,4.32,,
1992-04-13,4.38,,
1992-04-14,4.43,,
1992-04-15,4.51,,
1992-04-16,4.71,,
1992-04-20,4.6,,
1992-04-21,4.52,,
1992-04-22,4.49,,
1992-04-23,4.57,,
1992-04-24,4.58,,
1992-04-27,4.04,,
1992-04-28,3.82,,
1992-04-29,3.84,,
1992-04-30,3.8,,
1992-05-01,3.87,,
1992-05-04,3.87,,
1992-05-05,3.85,,
1992-05-06,3.9,,
1992-05-07,3.85,,
1992-05-08,3.87,,
1992-05-11,3.93,,
1992-05-12,3.88,,
1992-05-13,3.84,,
1992-05-14,3.68,,
1992-05-15,3.65,,
1992-05-18,3.66,,
1992-05-19,3.6,,
1992-05-20,3.63,,
1992-05-21,3.76,,
1992-05-22,3.73,,
1992-05-26,3.74,,
1992-05-27,3.76,,
1992-05-28,3.77,,
1992-05-29,3.74,,
1992-06-01,3.77,,
1992-06-02,3.66,,
1992-06-03,3.73,,
1992-06-04,3.73,,
1992-06-05,3.74,,
1992-06-08,3.62,,
1992-06-09,3.52,,
1992-06-10,3.59,,
1992-06-11,3.62,,
1992-06-12,3.57,,
1992-06-15,3.62,,
1992-06-16,3.6,,
1992-06-17,3.52,,
1992-06-18,3.52,,
1992-06-19,3.62,,
1992-06-22,3.65,,
1992-06-23,3.66,,
1992-06-24,3.6,,
1992-06-25,3.59,,
1992-06-26,3.62,,
1992-06-29,3.63,,
1992-06-30,3.62,,
1992-07-01,3.57,,
1992-07-02,3.55,,
1992-07-06,3.66,,
1992-07-07,3.54,,
1992-07-08,3.6,,
1992-07-09,3.6,,
1992-07-10,3.59,,
1992-07-13,3.57,,
1992-07-14,3.76,,
1992-07-15,3.71,,
1992-07-16,3.82,,
1992-07-17,3.79,,
1992-07-20,3.85,,
1992-07-21,3.88,,
1992-07-22,3.9,,
1992-07-23,3.9,,
1992-07-24,3.87,,
1992-07-27,4.02,,
1992-07-28,4.07,,
1992-07-29,4.02,,
1992-07-30,4.05,,
1992-07-31,4.08,,
1992-08-03,4.07,,
1992-08-04,4.08,,
1992-08-05,4.08,,
1992-08-06,4.1,,
1992-08-07,4.16,,
1992-08-10,4.15,,
1992-08-11,4.13,,
1992-08-12,4.1,,
1992-08-13,4.16,,
1992-08-14,4.16,,
1992-08-17,4.13,,
1992-08-18,4.18,,
1992-08-19,4.18,,
1992-08-20,4.18,,
1992-08-21,4.15,,
1992-08-24,4.04,,
1992-08-25,4.08,,
1992-08-26,4.08,,
1992-08-27,4.08,,
1992-08-28,4.15,,
1992-08-31,4.13,,
1992-09-01,4.12,,
1992-09-02,4.13,,
1992-09-03,4.05,,
1992-09-04,4.12,,
1992-09-08,4.1,,
1992-09-09,4.1,,
1992-09-10,4.08,,
1992-09-11,4.07,,
1992-09-14,4.15,,
1992-09-15,4.18,,
1992-09-16,4.26,,
1992-09-17,4.33,,
1992-09-18,4.54,,
1992-09-21,4.47,,
1992-09-22,4.35,,
1992-09-23,4.44,,
1992-09-24,4.44,,
1992-09-25,4.4,,
1992-09-28,4.4,,
1992-09-29,4.35,,
1992-09-30,4.37,,
1992-10-01,4.46,,
1992-10-02,4.37,,
1992-10-05,4.32,,
1992-10-06,4.4,,
1992-10-07,4.38,,
1992-10-08,4.47,,
1992-10-09,4.47,,
1992-10-12,4.51,,
1992-10-13,4.54,,
1992-10-14,4.54,,
1992-10-15,4.44,,
1992-10-16,4.41,,
1992-10-19,4.46,,
1992-10-20,4.49,,
1992-10-21,4.57,,
1992-10-22,4.55,,
1992-10-23,4.68,,
1992-10-26,4.8,,
1992-10-27,4.74,,
1992-10-28,4.8,,
1992-10-29,4.8,,
1992-10-30,4.77,,
1992-11-02,4.8,,
1992-11-03,4.79,,
1992-11-04,4.76,,
1992-11-05,4.71,,
1992-11-06,4.66,,
1992-11-09,4.76,,
1992-11-10,4.72,,
1992-11-11,4.74,,
1992-11-12,4.68,,
1992-11-13,4.68,,
1992-11-16,4.72,,
1992-11-17,4.71,,
1992-11-18,4.68,,
1992-11-19,4.72,,
1992-11-20,4.74,,
1992-11-23,4.76,,
1992-11-24,4.82,,
1992-11-25,4.83,,
1992-11-27,4.88,,
1992-11-30,4.88,,
1992-12-01,4.83,,
1992-12-02,4.83,,
1992-12-03,4.79,,
1992-12-04,4.82,,
1992-12-07,4.86,,
1992-12-08,4.85,,
1992-12-09,4.86,,
1992-12-10,4.83,,
1992-12-11,4.79,,
1992-12-14,4.82,,
1992-12-15,4.79,,
1992-12-16,4.79,,
1992-12-17,4.86,,
1992-12-18,4.86,,
1992-12-21,4.86,,
1992-12-22,4.85,,
1992-12-23,4.79,,
1992-12-24,4.77,,
1992-12-28,4.82,,
1992-12-29,4.88,,
1992-12-30,4.86,,
1992-12-31,4.9,,
1993-01-04,4.8,,
1993-01-05,4.66,,
1993-01-06,4.63,,
1993-01-07,4.57,,
1993-01-08,4.52,,
1993-01-11,4.55,,
1993-01-12,4.66,,
1993-01-13,4.65,,
1993-01-14,4.68,,
1993-01-15,4.88,,
1993-01-18,4.99,,
1993-01-19,5.1,,
1993-01-20,5.1,,
1993-01-21,5.08,,
1993-01-22,5.1,,
1993-01-25,5.08,,
1993-01-26,5.08,,
1993-01-27,5.14,,
1993-01-28,5.16,,
1993-01-29,5.14,,
1993-02-01,5.24,,
1993-02-02,5.22,,
1993-02-03,5.11,,
1993-02-04,5.16,,
1993-02-05,5.22,,
1993-02-08,5.22,,
1993-02-09,5.24,,
1993-02-10,5.27,,
1993-02-11,5.21,,
1993-02-12,5.08,,
1993-02-16,4.96,,
1993-02-17,5.13,,
1993-02-18,5.14,,
1993-02-19,5.3,,
1993-02-22,5.47,,
1993-02-23,5.47,,
1993-02-24,5.46,,
1993-02-25,5.46,,
1993-02-26,5.47,,
1993-03-01,5.5,,
1993-03-02,5.6,,
1993-03-03,5.61,,
1993-03-04,5.63,,
1993-03-05,5.66,,
1993-03-08,5.63,,
1993-03-09,5.63,,
1993-03-10,5.64,,
1993-03-11,5.61,,
1993-03-12,5.52,,
1993-03-15,5.57,,
1993-03-16,5.53,,
1993-03-17,5.52,,
1993-03-18,5.74,,
1993-03-19,5.89,,
1993-03-22,5.91,,
1993-03-23,5.88,,
1993-03-24,5.97,,
1993-03-25,5.92,,
1993-03-26,5.92,,
1993-03-29,5.97,,
1993-03-30,5.97,,
1993-03-31,6.02,,
1993-04-01,6.03,,
1993-04-02,5.97,,
1993-04-05,5.99,,
1993-04-06,6.03,,
1993-04-07,6.05,,
1993-04-08,6.13,,
1993-04-12,6.08,,
1993-04-13,6.08,,
1993-04-14,6.1,,
1993-04-15,5.99,,
1993-04-16,6.03,,
1993-04-19,6.0,,
1993-04-20,6.16,,
1993-04-21,6.08,,
1993-04-22,6.0,,
1993-04-23,6.13,,
1993-04-26,6.16,,
1993-04-27,5.91,,
1993-04-28,5.97,,
1993-04-29,5.99,,
1993-04-30,6.0,,
1993-05-03,6.08,,
1993-05-04,6.14,,
1993-05-05,6.08,,
1993-05-06,6.11,,
1993-05-07,6.11,,
1993-05-10,5.99,,
1993-05-11,6.1,,
1993-05-12,6.13,,
1993-05-13,6.13,,
1993-05-14,6.13,,
1993-05-17,6.03,,
1993-05-18,5.92,,
1993-05-19,6.03,,
1993-05-20,6.0,,
1993-05-21,6.0,,
1993-05-24,5.97,,
1993-05-25,5.96,,
1993-05-26,6.03,,
1993-05-27,6.16,,
1993-05-28,6.1,,
1993-06-01,6.0,,
1993-06-02,5.96,,
1993-06-03,5.94,,
1993-06-04,6.11,,
1993-06-07,6.14,,
1993-06-08,6.17,,
1993-06-09,6.14,,
1993-06-10,6.13,,
1993-06-11,6.11,,
1993-06-14,6.17,,
1993-06-15,6.16,,
1993-06-16,6.25,,
1993-06-17,6.33,,
1993-06-18,6.35,,
1993-06-21,6.49,,
1993-06-22,6.55,,
1993-06-23,6.5,,
1993-06-24,6.47,,
1993-06-25,6.58,,
1993-06-28,6.7,,
1993-06-29,6.83,,
1993-06-30,6.83,,
1993-07-01,6.83,,
1993-07-02,6.86,,
1993-07-06,6.86,,
1993-07-07,6.83,,
1993-07-08,6.84,,
1993-07-09,6.98,,
1993-07-12,6.92,,
1993-07-13,6.97,,
1993-07-14,7.08,,
1993-07-15,7.05,,
1993-07-16,6.88,,
1993-07-19,6.56,,
1993-07-20,6.8,,
1993-07-21,6.74,,
1993-07-22,6.74,,
1993-07-23,6.67,,
1993-07-26,7.03,,
1993-07-27,6.97,,
1993-07-28,6.97,,
1993-07-29,6.95,,
1993-07-30,7.06,,
1993-08-02,7.08,,
1993-08-03,7.08,,
1993-08-04,7.12,,
1993-08-05,7.39,,
1993-08-06,7.37,,
1993-08-09,7.39,,
1993-08-10,7.3,,
1993-08-11,7.33,,
1993-08-12,7.45,,
1993-08-13,7.37,,
1993-08-16,7.42,,
1993-08-17,7.47,,
1993-08-18,7.48,,
1993-08-19,7.51,,
1993-08-20,7.36,,
1993-08-23,7.2,,
1993-08-24,7.51,,
1993-08-25,7.51,,
1993-08-26,7.48,,
1993-08-27,7.44,,
1993-08-30,7.42,,
1993-08-31,7.42,,
1993-09-01,7.42,,
1993-09-02,7.47,,
1993-09-03,7.45,,
1993-09-07,7.47,,
1993-09-08,7.23,,
1993-09-09,7.25,,
1993-09-10,7.39,,
1993-09-13,7.59,,
1993-09-14,7.66,,
1993-09-15,7.61,,
1993-09-16,7.66,,
1993-09-17,7.55,,
1993-09-20,7.67,,
1993-09-21,7.62,,
1993-09-22,7.8,,
1993-09-23,7.81,,
1993-09-24,7.81,,
1993-09-27,7.87,,
1993-09-28,7.87,,
1993-09-29,7.84,,
1993-09-30,7.84,,
1993-10-01,7.84,,
1993-10-04,7.83,,
1993-10-05,7.87,,
1993-10-06,7.84,,
1993-10-07,7.8,,
1993-10-08,7.75,,
1993-10-11,7.67,,
1993-10-12,7.76,,
1993-10-13,7.78,,
1993-10-14,7.81,,
1993-10-15,7.78,,
1993-10-18,7.78,,
1993-10-19,7.42,,
1993-10-20,7.11,,
1993-10-21,7.23,,
1993-10-22,7.23,,
1993-10-25,7.09,,
1993-10-26,7.08,,
1993-10-27,7.2,,
1993-10-28,7.28,,
1993-10-29,7.41,,
1993-11-01,7.76,,
1993-11-02,7.53,,
1993-11-03,6.98,,
1993-11-04,7.08,,
1993-11-05,6.98,,
1993-11-08,6.98,,
1993-11-09,6.7,,
1993-11-10,6.7,,
1993-11-11,6.45,,
1993-11-12,6.92,,
1993-11-15,6.64,,
1993-11-16,6.49,,
1993-11-17,6.42,,
1993-11-18,6.67,,
1993-11-19,6.86,,
1993-11-22,6.36,,
1993-11-23,6.45,,
1993-11-24,6.8,,
1993-11-26,6.89,,
1993-11-29,6.64,,
1993-11-30,6.77,,
1993-12-01,6.77,,
1993-12-02,6.83,,
1993-12-03,6.74,,
1993-12-06,6.58,,
1993-12-07,6.39,,
1993-12-08,6.33,,
1993-12-09,6.27,,
1993-12-10,6.3,,
1993-12-13,6.64,,
1993-12-14,6.45,,
1993-12-15,6.36,,
