date,SYF,dcf,Deviation
2015-06-10,33.3,46.65473053892216,-0.28624601159749163
2015-06-11,33.22,46.55473053892216,-0.28643126884331627
2015-06-12,33.12,46.40473053892216,-0.2862796612465951
2015-06-15,32.97,45.93473053892215,-0.28224244241373464
2015-06-16,32.5,46.18473053892215,-0.29630421958160724
2015-06-17,32.75,46.25473053892215,-0.2919643111434467
2015-06-18,32.82,46.354730538922155,-0.2919816463512306
2015-06-19,32.92,46.34473053892216,-0.2896711316003344
2015-06-22,32.91,46.424730538922155,-0.29111058657823563
2015-06-23,32.99,46.19473053892216,-0.28584928161441026
2015-06-24,32.76,46.244730538922155,-0.2915949640483396
2015-06-25,32.81,46.134730538922156,-0.28882211694464266
2015-06-26,32.7,45.66473053892216,-0.28391124585464744
2015-06-29,32.23,46.36473053892215,-0.30485954247175806
2015-06-30,32.93,46.03976047904192,-0.2847486681649811
2015-07-01,33.32,45.85976047904192,-0.2734371123628663
2015-07-02,33.14,45.219760479041916,-0.26713455248487095
2015-07-06,32.5,45.219760479041916,-0.2812876570838354
2015-07-07,32.5,44.729760479041914,-0.27341439676995716
2015-07-08,32.01,45.31976047904192,-0.29368558744252427
2015-07-09,32.6,45.78976047904192,-0.28805043619039894
2015-07-10,33.07,46.06976047904192,-0.28217556036471636
2015-07-13,33.35,46.48976047904192,-0.28263773234464096
2015-07-14,33.77,46.85976047904192,-0.2793390394066637
2015-07-15,34.14,46.84976047904192,-0.2712876298423679
2015-07-16,34.13,47.799760479041915,-0.2859796857148583
2015-07-17,35.08,48.70976047904192,-0.2798157975937148
2015-07-20,35.99,48.329760479041916,-0.2553242630778818
2015-07-21,35.61,48.399760479041916,-0.2642525572947855
2015-07-22,35.68,48.34976047904192,-0.2620439140444937
2015-07-23,35.63,47.399760479041916,-0.24830843785056644
2015-07-24,34.68,47.339760479041914,-0.2674234164037774
2015-07-27,34.62,46.94976047904191,-0.26261604645556913
2015-07-28,34.23,47.19976047904191,-0.27478445541690566
2015-07-29,34.48,47.31976047904192,-0.2713403522980361
2015-07-30,34.6,47.079760479041916,-0.26507697473519265
2015-07-31,34.36,47.079760479041916,-0.27017470670234744
2015-08-03,34.36,47.12976047904191,-0.2709489789306374
2015-08-04,34.41,47.27976047904192,-0.2722044348077187
2015-08-05,34.56,46.84976047904192,-0.26232280279297693
2015-08-06,34.13,46.69976047904191,-0.2691611338067358
2015-08-07,33.98,47.339760479041914,-0.2822101409861696
2015-08-10,34.62,47.38976047904192,-0.2694624397751353
2015-08-11,34.67,47.67976047904192,-0.2728570854453113
2015-08-12,34.96,47.87976047904191,-0.2698376171847642
2015-08-13,35.16,47.85976047904192,-0.26535361547835623
2015-08-14,35.14,48.03976047904192,-0.26852258109549976
2015-08-17,35.32,47.85976047904192,-0.26201051475243287
2015-08-18,35.14,47.67976047904192,-0.2629996533760669
2015-08-19,34.96,47.079760479041916,-0.25743037678446057
2015-08-20,34.36,46.439760479041915,-0.2601167696481438
2015-08-21,33.72,45.869760479041915,-0.2648751672595542
2015-08-24,33.15,45.70976047904192,-0.2747719600237375
2015-08-25,32.99,45.38976047904192,-0.27318409148176337
2015-08-26,32.67,45.049760479041915,-0.2748019156461716
2015-08-27,32.33,45.369760479041915,-0.2874108291813773
2015-08-28,32.65,45.66976047904192,-0.2850849302136531
2015-08-31,32.95,44.42976047904192,-0.2583799767378233
2015-09-01,31.71,44.509760479041915,-0.2875719918795985
