date,VZ,dcf,Deviation
1985-09-13,9.88,,
1985-09-16,9.89,,
1985-09-17,9.95,,
1985-09-18,10.0,,
1985-09-19,10.06,,
1985-09-20,10.06,,
1985-09-23,10.15,,
1985-09-24,9.95,,
1985-09-25,9.86,,
1985-09-26,9.75,,
1985-09-30,9.67,,
1985-10-01,9.74,,
1985-10-02,9.7,,
1985-10-03,9.67,,
1985-10-04,9.65,,
1985-10-07,9.68,,
1985-10-08,9.72,,
1985-10-09,9.74,,
1985-10-10,9.67,,
1985-10-11,9.78,,
1985-10-14,9.88,,
1985-10-15,9.89,,
1985-10-16,9.95,,
1985-10-17,9.95,,
1985-10-18,10.03,,
1985-10-21,10.02,,
1985-10-22,10.08,,
1985-10-23,10.1,,
1985-10-24,10.16,,
1985-10-25,10.15,,
1985-10-28,10.27,,
1985-10-29,10.34,,
1985-10-30,10.31,,
1985-10-31,10.22,,
1985-11-01,10.43,,
1985-11-04,10.47,,
1985-11-05,10.45,,
1985-11-06,10.45,,
1985-11-07,10.51,,
1985-11-08,10.71,,
1985-11-11,10.99,,
1985-11-12,11.02,,
1985-11-13,10.95,,
1985-11-14,10.97,,
1985-11-15,10.96,,
1985-11-18,10.96,,
1985-11-19,10.96,,
1985-11-20,10.95,,
1985-11-21,11.07,,
1985-11-22,11.04,,
1985-11-25,11.06,,
1985-11-26,11.12,,
1985-11-27,11.1,,
1985-11-29,11.19,,
1985-12-02,11.16,,
1985-12-03,11.14,,
1985-12-04,11.26,,
1985-12-05,11.23,,
1985-12-06,11.33,,
1985-12-09,11.59,,
1985-12-10,11.66,,
1985-12-11,11.9,,
1985-12-12,11.78,,
1985-12-13,11.58,,
1985-12-16,11.58,,
1985-12-17,11.75,,
1985-12-18,11.8,,
1985-12-19,11.69,,
1985-12-20,11.8,,
1985-12-23,11.75,,
1985-12-24,11.58,,
1985-12-26,11.49,,
1985-12-27,11.58,,
1985-12-30,11.69,,
1985-12-31,11.97,,
1986-01-02,11.89,,
1986-01-03,11.89,,
1986-01-06,11.72,,
1986-01-07,11.86,,
1986-01-08,11.58,,
1986-01-09,11.34,,
1986-01-10,11.27,,
1986-01-13,11.33,,
1986-01-14,11.41,,
1986-01-15,11.41,,
1986-01-16,11.69,,
1986-01-17,11.69,,
1986-01-20,11.65,,
1986-01-21,11.62,,
1986-01-22,11.52,,
1986-01-23,11.52,,
1986-01-24,11.54,,
1986-01-27,11.69,,
1986-01-28,11.94,,
1986-01-29,11.97,,
1986-01-30,12.08,,
1986-01-31,12.37,,
1986-02-03,12.55,,
1986-02-04,12.45,,
1986-02-05,12.45,,
1986-02-06,12.3,,
1986-02-07,12.23,,
1986-02-10,12.34,,
1986-02-11,12.31,,
1986-02-12,12.31,,
1986-02-13,12.39,,
1986-02-14,12.82,,
1986-02-18,12.82,,
1986-02-19,12.51,,
1986-02-20,12.59,,
1986-02-21,12.8,,
1986-02-24,12.75,,
1986-02-25,12.7,,
1986-02-26,12.7,,
1986-02-27,12.84,,
1986-02-28,12.9,,
1986-03-03,12.96,,
1986-03-04,12.93,,
1986-03-05,13.01,,
1986-03-06,13.08,,
1986-03-07,13.18,,
1986-03-10,13.31,,
1986-03-11,13.57,,
1986-03-12,13.74,,
1986-03-13,13.8,,
1986-03-14,14.22,,
1986-03-17,14.02,,
1986-03-18,14.22,,
1986-03-19,14.07,,
1986-03-20,14.0,,
1986-03-21,13.88,,
1986-03-24,13.74,,
1986-03-25,13.8,,
1986-03-26,13.83,,
1986-03-27,14.07,,
1986-03-31,13.97,,
1986-04-01,13.69,,
1986-04-02,13.91,,
1986-04-03,13.77,,
1986-04-04,13.5,,
1986-04-07,13.53,,
1986-04-08,13.66,,
1986-04-09,13.66,,
1986-04-10,13.71,,
1986-04-11,13.63,,
1986-04-14,13.67,,
1986-04-15,13.74,,
1986-04-16,14.05,,
1986-04-17,14.19,,
1986-04-18,14.5,,
1986-04-21,14.64,,
1986-04-22,14.64,,
1986-04-23,14.61,,
1986-04-24,14.33,,
1986-04-25,14.33,,
1986-04-28,14.61,,
1986-04-29,14.3,,
1986-04-30,14.33,,
1986-05-01,14.36,,
1986-05-02,14.14,,
1986-05-05,14.19,,
1986-05-06,14.02,,
1986-05-07,13.86,,
1986-05-08,14.0,,
1986-05-09,14.0,,
1986-05-12,13.94,,
1986-05-13,13.88,,
1986-05-14,14.02,,
1986-05-15,13.94,,
1986-05-16,13.83,,
1986-05-19,13.83,,
1986-05-20,13.94,,
1986-05-21,13.83,,
1986-05-22,14.3,,
1986-05-23,14.47,,
1986-05-27,14.67,,
1986-05-28,14.64,,
1986-05-29,14.95,,
1986-05-30,15.29,,
1986-06-02,15.23,,
1986-06-03,15.18,,
1986-06-04,15.04,,
1986-06-05,15.12,,
1986-06-06,15.06,,
1986-06-09,14.95,,
1986-06-10,14.9,,
1986-06-11,14.9,,
1986-06-12,14.84,,
1986-06-13,15.37,,
1986-06-16,15.74,,
1986-06-17,15.63,,
1986-06-18,15.93,,
1986-06-19,15.74,,
1986-06-20,16.19,,
1986-06-23,15.91,,
1986-06-24,15.74,,
1986-06-25,15.85,,
1986-06-26,15.79,,
1986-06-27,15.65,,
1986-06-30,15.63,,
1986-07-01,15.82,,
1986-07-02,15.93,,
1986-07-03,15.96,,
1986-07-07,15.68,,
1986-07-08,15.6,,
1986-07-09,15.65,,
1986-07-10,15.68,,
1986-07-11,15.77,,
1986-07-14,15.65,,
1986-07-15,15.51,,
1986-07-16,15.65,,
1986-07-17,15.68,,
1986-07-18,15.79,,
1986-07-21,15.85,,
1986-07-22,15.96,,
1986-07-23,16.13,,
1986-07-24,16.1,,
1986-07-25,16.5,,
1986-07-28,16.27,,
1986-07-29,16.13,,
1986-07-30,16.24,,
1986-07-31,16.53,,
1986-08-01,16.61,,
1986-08-04,16.44,,
1986-08-05,16.3,,
1986-08-06,16.13,,
1986-08-07,16.05,,
1986-08-08,15.88,,
1986-08-11,15.96,,
1986-08-12,15.93,,
1986-08-13,16.38,,
1986-08-14,16.22,,
1986-08-15,16.33,,
1986-08-18,16.5,,
1986-08-19,16.47,,
1986-08-20,16.81,,
1986-08-21,16.86,,
1986-08-22,16.86,,
1986-08-25,16.55,,
1986-08-26,17.03,,
1986-08-27,17.09,,
1986-08-28,17.09,,
1986-08-29,16.97,,
1986-09-02,16.81,,
1986-09-03,16.64,,
1986-09-04,16.53,,
1986-09-05,15.88,,
1986-09-08,15.63,,
1986-09-09,15.79,,
1986-09-10,15.85,,
1986-09-11,14.95,,
1986-09-12,14.78,,
1986-09-15,15.04,,
1986-09-16,15.06,,
1986-09-17,14.9,,
1986-09-18,14.87,,
1986-09-19,14.95,,
1986-09-22,15.18,,
1986-09-23,15.49,,
1986-09-24,15.2,,
1986-09-25,14.73,,
1986-09-26,14.92,,
1986-09-29,14.75,,
1986-09-30,14.47,,
1986-10-01,14.7,,
1986-10-02,14.56,,
1986-10-03,14.59,,
1986-10-06,14.7,,
1986-10-07,14.56,,
1986-10-08,14.67,,
1986-10-09,14.87,,
1986-10-10,14.9,,
1986-10-13,14.84,,
1986-10-14,14.75,,
1986-10-15,14.75,,
1986-10-16,14.92,,
1986-10-17,14.78,,
1986-10-20,14.45,,
1986-10-21,14.45,,
1986-10-22,14.3,,
1986-10-23,14.42,,
1986-10-24,14.39,,
1986-10-27,14.39,,
1986-10-28,14.36,,
1986-10-29,14.53,,
1986-10-30,14.67,,
1986-10-31,15.04,,
1986-11-03,15.29,,
1986-11-04,15.23,,
1986-11-05,15.2,,
1986-11-06,15.26,,
1986-11-07,15.26,,
1986-11-10,15.32,,
1986-11-11,15.15,,
1986-11-12,15.06,,
1986-11-13,14.92,,
1986-11-14,14.98,,
1986-11-17,14.95,,
1986-11-18,14.78,,
1986-11-19,14.7,,
1986-11-20,15.01,,
1986-11-21,15.51,,
1986-11-24,15.6,,
1986-11-25,15.65,,
1986-11-26,15.46,,
1986-11-28,15.54,,
1986-12-01,15.51,,
1986-12-02,15.93,,
1986-12-03,15.91,,
1986-12-04,15.88,,
1986-12-05,15.85,,
1986-12-08,16.41,,
1986-12-09,16.22,,
1986-12-10,16.13,,
1986-12-11,15.82,,
1986-12-12,15.91,,
1986-12-15,16.08,,
1986-12-16,16.36,,
1986-12-17,16.22,,
1986-12-18,16.05,,
1986-12-19,16.3,,
1986-12-22,16.3,,
1986-12-23,16.1,,
1986-12-24,15.88,,
1986-12-26,15.82,,
1986-12-29,15.74,,
1986-12-30,15.46,,
1986-12-31,15.18,,
1987-01-02,15.68,,
1987-01-05,15.82,,
1987-01-06,15.74,,
1987-01-07,15.85,,
1987-01-08,15.93,,
1987-01-09,16.1,,
1987-01-12,16.16,,
1987-01-13,15.96,,
1987-01-14,15.96,,
1987-01-15,16.1,,
1987-01-16,16.13,,
1987-01-19,16.13,,
1987-01-20,16.19,,
1987-01-21,16.27,,
1987-01-22,16.44,,
1987-01-23,16.47,,
1987-01-26,16.53,,
1987-01-27,16.47,,
1987-01-28,16.58,,
1987-01-29,16.53,,
1987-01-30,16.78,,
1987-02-02,16.78,,
1987-02-03,16.75,,
1987-02-04,16.81,,
1987-02-05,16.81,,
1987-02-06,16.75,,
1987-02-09,16.5,,
1987-02-10,16.16,,
1987-02-11,16.13,,
1987-02-12,15.79,,
1987-02-13,15.74,,
1987-02-17,15.91,,
1987-02-18,16.05,,
1987-02-19,16.27,,
1987-02-20,16.61,,
1987-02-23,16.3,,
1987-02-24,16.22,,
1987-02-25,16.27,,
1987-02-26,16.1,,
1987-02-27,16.27,,
1987-03-02,16.1,,
1987-03-03,16.1,,
1987-03-04,16.1,,
1987-03-05,16.1,,
1987-03-06,16.08,,
1987-03-09,15.88,,
1987-03-10,15.91,,
1987-03-11,15.88,,
1987-03-12,15.91,,
1987-03-13,15.91,,
1987-03-16,15.85,,
1987-03-17,15.88,,
1987-03-18,15.65,,
1987-03-19,15.74,,
1987-03-20,15.85,,
1987-03-23,15.99,,
1987-03-24,16.08,,
1987-03-25,15.79,,
1987-03-26,15.74,,
1987-03-27,15.54,,
1987-03-30,15.15,,
1987-03-31,15.18,,
1987-04-01,14.92,,
1987-04-02,14.95,,
1987-04-03,15.46,,
1987-04-06,15.29,,
1987-04-07,14.84,,
1987-04-08,14.92,,
1987-04-09,14.56,,
1987-04-10,14.56,,
1987-04-13,14.25,,
1987-04-14,14.08,,
1987-04-15,14.19,,
1987-04-16,14.39,,
1987-04-20,14.64,,
1987-04-21,14.92,,
1987-04-22,14.3,,
1987-04-23,14.5,,
1987-04-24,14.28,,
1987-04-27,14.61,,
1987-04-28,14.47,,
1987-04-29,14.47,,
1987-04-30,14.84,,
1987-05-01,14.87,,
1987-05-04,14.98,,
1987-05-05,15.09,,
1987-05-06,14.87,,
1987-05-07,14.75,,
1987-05-08,14.59,,
1987-05-11,14.45,,
1987-05-12,14.61,,
1987-05-13,14.56,,
1987-05-14,14.64,,
1987-05-15,14.5,,
1987-05-18,14.53,,
1987-05-19,14.28,,
1987-05-20,13.97,,
1987-05-21,13.83,,
1987-05-22,14.16,,
1987-05-26,14.45,,
1987-05-27,14.73,,
1987-05-28,14.78,,
1987-05-29,15.01,,
1987-06-01,15.09,,
1987-06-02,15.01,,
1987-06-03,15.23,,
1987-06-04,15.23,,
1987-06-05,15.26,,
1987-06-08,15.32,,
1987-06-09,15.12,,
1987-06-10,15.2,,
1987-06-11,15.26,,
1987-06-12,15.51,,
1987-06-15,15.71,,
1987-06-16,15.93,,
1987-06-17,15.82,,
1987-06-18,15.79,,
1987-06-19,16.02,,
1987-06-22,16.19,,
1987-06-23,16.05,,
1987-06-24,15.65,,
1987-06-25,15.77,,
1987-06-26,15.65,,
1987-06-29,15.65,,
1987-06-30,15.32,,
1987-07-01,15.34,,
1987-07-02,15.37,,
1987-07-06,15.29,,
1987-07-07,15.4,,
1987-07-08,15.23,,
1987-07-09,15.06,,
1987-07-10,15.15,,
1987-07-13,14.87,,
1987-07-14,14.98,,
1987-07-15,14.73,,
1987-07-16,14.84,,
1987-07-17,14.98,,
1987-07-20,14.9,,
1987-07-21,14.73,,
1987-07-22,14.64,,
1987-07-23,14.59,,
1987-07-24,14.73,,
1987-07-27,14.92,,
1987-07-28,15.01,,
1987-07-29,15.18,,
1987-07-30,15.32,,
1987-07-31,15.34,,
1987-08-03,15.32,,
1987-08-04,15.15,,
1987-08-05,15.51,,
1987-08-06,15.54,,
1987-08-07,15.96,,
1987-08-10,16.38,,
1987-08-11,16.89,,
1987-08-12,16.67,,
1987-08-13,16.72,,
1987-08-14,16.72,,
1987-08-17,16.97,,
1987-08-18,16.86,,
1987-08-19,16.83,,
1987-08-20,17.06,,
1987-08-21,17.17,,
1987-08-24,17.09,,
1987-08-25,17.31,,
1987-08-26,17.26,,
1987-08-27,16.95,,
1987-08-28,16.58,,
1987-08-31,16.97,,
1987-09-01,16.64,,
1987-09-02,16.53,,
1987-09-03,16.38,,
1987-09-04,16.58,,
1987-09-08,16.41,,
1987-09-09,16.61,,
1987-09-10,16.53,,
1987-09-11,16.67,,
1987-09-14,16.83,,
1987-09-15,16.75,,
1987-09-16,16.78,,
1987-09-17,16.89,,
1987-09-18,16.78,,
1987-09-21,16.83,,
1987-09-22,17.48,,
1987-09-23,17.79,,
1987-09-24,17.31,,
1987-09-25,17.76,,
1987-09-28,17.56,,
1987-09-29,17.4,,
1987-09-30,17.23,,
1987-10-01,17.45,,
1987-10-02,17.37,,
1987-10-05,17.28,,
1987-10-06,17.26,,
1987-10-07,17.12,,
1987-10-08,17.09,,
1987-10-09,17.12,,
1987-10-12,17.12,,
1987-10-13,17.71,,
1987-10-14,17.48,,
1987-10-15,17.31,,
1987-10-16,16.5,,
1987-10-19,13.6,,
1987-10-20,15.51,,
1987-10-21,16.41,,
1987-10-22,16.38,,
1987-10-23,16.81,,
1987-10-26,16.24,,
1987-10-27,16.3,,
1987-10-28,15.96,,
1987-10-29,16.16,,
1987-10-30,16.22,,
1987-11-02,16.36,,
1987-11-03,16.38,,
1987-11-04,16.38,,
1987-11-05,16.47,,
1987-11-06,16.27,,
1987-11-09,15.88,,
1987-11-10,15.63,,
1987-11-11,15.6,,
1987-11-12,15.88,,
1987-11-13,15.6,,
1987-11-16,15.6,,
1987-11-17,15.46,,
1987-11-18,15.43,,
1987-11-19,15.32,,
1987-11-20,15.51,,
1987-11-23,15.4,,
1987-11-24,15.49,,
1987-11-25,15.12,,
1987-11-27,15.18,,
1987-11-30,14.73,,
1987-12-01,15.01,,
1987-12-02,15.01,,
1987-12-03,14.73,,
1987-12-04,14.61,,
1987-12-07,14.45,,
1987-12-08,14.61,,
1987-12-09,14.7,,
1987-12-10,14.47,,
1987-12-11,14.53,,
1987-12-14,14.95,,
1987-12-15,15.2,,
1987-12-16,15.6,,
1987-12-17,15.32,,
1987-12-18,15.71,,
1987-12-21,15.68,,
1987-12-22,15.65,,
1987-12-23,15.57,,
1987-12-24,14.84,,
1987-12-28,14.45,,
1987-12-29,14.45,,
1987-12-30,14.61,,
1987-12-31,14.61,,
1988-01-04,15.23,,
1988-01-05,15.37,,
1988-01-06,15.06,,
1988-01-07,15.12,,
1988-01-08,14.22,,
1988-01-11,14.5,,
1988-01-12,14.5,,
1988-01-13,15.01,,
1988-01-14,14.95,,
1988-01-15,15.6,,
1988-01-18,15.37,,
1988-01-19,15.15,,
1988-01-20,14.81,,
1988-01-21,14.87,,
1988-01-22,15.37,,
1988-01-25,15.88,,
1988-01-26,15.68,,
1988-01-27,15.77,,
1988-01-28,16.05,,
1988-01-29,16.36,,
1988-02-01,16.33,,
1988-02-02,16.24,,
1988-02-03,16.16,,
1988-02-04,16.13,,
1988-02-05,16.16,,
1988-02-08,16.08,,
1988-02-09,16.19,,
1988-02-10,16.5,,
1988-02-11,16.24,,
1988-02-12,16.38,,
1988-02-16,16.22,,
1988-02-17,15.85,,
1988-02-18,15.71,,
1988-02-19,15.96,,
1988-02-22,16.08,,
