CHRW,dcf,Deviation
12.81,,
12.91,,
14.19,,
13.89,,
13.77,,
13.67,,
13.89,,
14.0,,
13.72,,
13.72,,
13.5,,
13.75,,
13.72,,
13.3,,
13.42,,
13.72,,
13.84,,
13.91,,
14.19,,
14.25,,
14.53,,
15.0,,
15.13,,
15.27,,
14.89,,
14.73,,
14.16,,
14.56,,
15.09,,
15.09,,
15.44,,
15.94,,
16.25,,
16.25,,
15.19,,
14.72,,
14.69,,
13.75,,
14.78,,
14.97,,
14.78,,
14.75,,
14.75,,
14.5,,
16.06,,
15.91,,
15.72,,
14.94,,
15.97,,
15.81,,
15.63,,
15.03,,
14.88,,
14.72,,
14.0,,
13.66,,
13.91,,
14.03,,
14.19,,
14.03,,
14.06,,
14.25,,
13.41,,
13.91,,
13.72,,
13.95,,
13.88,,
14.97,,
14.0,,
14.69,,
14.44,,
14.78,,
14.77,,
14.66,,
14.63,,
14.53,,
14.88,,
14.81,,
15.09,,
15.01,,
15.13,,
14.78,,
14.81,,
14.84,,
14.91,,
14.81,,
14.94,,
15.0,,
14.88,,
14.78,,
15.16,,
15.5,,
15.25,,
15.19,,
14.28,,
14.13,,
13.2,,
12.72,,
11.81,,
12.94,,
13.66,,
13.63,,
13.53,,
13.88,,
13.97,,
13.53,,
12.8,,
13.16,,
13.69,,
13.22,,
12.41,,
12.69,,
12.75,,
12.59,,
12.12,,
12.53,,
12.15,,
11.79,,
12.08,,
12.27,,
12.15,,
12.69,,
13.0,,
12.89,,
13.35,,
13.71,,
13.67,,
13.7,,
13.53,,
13.75,,
14.12,,
13.87,,
14.09,,
13.98,,
14.12,,
14.01,,
14.35,,
14.4,,
14.44,,
14.95,,
15.0,,
15.48,,
15.5,,
15.64,,
15.09,,
14.65,,
15.01,,
14.95,,
14.76,,
14.5,,
14.93,,
14.38,,
14.61,,
14.93,,
14.49,,
14.61,,
14.73,,
14.5,,
14.78,,
14.68,,
14.7,,
14.13,,
13.59,,
13.37,,
13.25,,
13.32,,
13.64,,
13.25,,
13.51,,
13.58,,
14.05,,
13.95,,
14.13,14.8684449817475,-0.049665246275182984
14.02,14.988444981747499,-0.06461277223400053
14.14,14.6984449817475,-0.03799347362533756
13.85,14.7684449817475,-0.06218968773507416
13.92,14.418444981747498,-0.03456995413711306
13.57,14.7084449817475,-0.07740077099654363
13.86,15.078444981747499,-0.08080707149990796
14.23,15.148444981747499,-0.06062965425521505
14.3,15.328444981747499,-0.06709388871292088
14.48,15.3484449817475,-0.05658195229420715
14.5,15.328444981747499,-0.05404625079282199
14.48,15.508444981747498,-0.06631515815788847
14.66,15.838444981747498,-0.07440408342520743
14.99,15.728444981747499,-0.04694964967003712
14.88,15.7084449817475,-0.05273882823602938
14.86,15.748444981747499,-0.05641477509539572
14.9,16.0684449817475,-0.07271674285064689
15.22,16.298444981747497,-0.06616858129442649
15.45,16.298444981747497,-0.05205680558468406
15.45,16.2284449817475,-0.04796793424280865
15.38,16.098444981747498,-0.04462822232594976
15.25,16.2684449817475,-0.06260247877963454
15.42,16.0884449817475,-0.041548141073040834
15.24,15.828444981747499,-0.03717642399023158
14.98,15.8784449817475,-0.056582680657978446
15.03,15.8684449817475,-0.05283724918931321
15.02,15.728444981747499,-0.04504227738785582
14.88,15.8584449817475,-0.061698671141694805
15.01,15.828444981747499,-0.051707225990379024
14.98,16.0784449817475,-0.0683178617704927
15.23,16.1584449817475,-0.057458807626369124
15.31,16.278444981747498,-0.05949247503882493
15.43,16.2184449817475,-0.04861409232727476
15.37,16.2184449817475,-0.05231358386715579
15.37,16.2584449817475,-0.054645138741430066
15.41,16.5384449817475,-0.06823162534282379
15.69,16.3284449817475,-0.03910017043638725
15.48,16.2684449817475,-0.0484646800989339
15.42,15.988444981747499,-0.03555348768416433
15.14,15.7784449817475,-0.04046311169992045
14.93,16.2284449817475,-0.08001043742686942
15.38,16.3584449817475,-0.05981283568451845
15.51,16.3984449817475,-0.0541786116144789
15.55,16.4684449817475,-0.05576998816618328
15.62,16.3584449817475,-0.04514151452484916
15.51,15.478444981747499,0.0020386426601453067
14.63,14.8584449817475,-0.015374757050830468
14.01,14.8484449817475,-0.05646685446039379
14.0,14.8584449817475,-0.057774887129981356
14.01,14.6284449817475,-0.0422768778581154
13.78,14.258444981747498,-0.03355520060988171
13.41,14.2884449817475,-0.061479397014136405
13.44,14.008444981747498,-0.04057873536200218
13.16,14.1184449817475,-0.06788601598735478
13.27,14.0484449817475,-0.05541146957965082
13.2,14.498444981747499,-0.08955753416191514
13.65,14.6284449817475,-0.06688646557910594
13.78,15.328444981747499,-0.10101774730517843
14.48,14.806239343601417,-0.022033909896397974
13.78,14.926239343601418,-0.07679357922749575
13.9,15.156239343601419,-0.08288595311288549
14.13,15.276239343601418,-0.07503413096768019
