date,FBHS,dcf,Deviation
2017-12-13,67.32,68.47400768245839,-0.01685322243456233
2017-12-14,66.7,68.19400768245839,-0.021908195943185382
2017-12-15,66.42,69.2540076824584,-0.04092193040224912
2017-12-18,67.48,69.46400768245839,-0.028561664502973927
2017-12-19,67.69,69.67400768245838,-0.02847557860458616
2017-12-20,67.9,71.09400768245837,-0.044926538629309065
2017-12-21,69.32,70.30400768245839,-0.013996466416293929
2017-12-22,68.53,70.71400768245839,-0.030885078558489876
2017-12-26,68.94,70.51400768245838,-0.022321914952650568
2017-12-27,68.74,70.55400768245839,-0.025710909160861273
2017-12-28,68.78,70.21400768245839,-0.020423384589349447
2017-12-29,68.44,70.81317073170732,-0.03351312626147818
2018-01-02,68.74,71.62317073170732,-0.04025472067562286
2018-01-03,69.55,72.20317073170732,-0.03674590332834515
2018-01-04,70.13,73.69317073170731,-0.048351437403604924
2018-01-05,71.62,73.50317073170733,-0.025620265261495412
2018-01-08,71.43,72.3931707317073,-0.013304718138080318
2018-01-09,70.32,71.15317073170732,-0.01170953765151117
2018-01-10,69.08,71.85317073170732,-0.03859496670038498
2018-01-11,69.78,72.69317073170731,-0.04007488877406529
2018-01-12,70.62,72.47317073170731,-0.0255704381772901
2018-01-16,70.4,73.88317073170732,-0.0471443049507958
2018-01-17,71.81,74.70317073170732,-0.03872888798921259
2018-01-18,72.63,74.71317073170732,-0.027882242331648932
2018-01-19,72.64,74.91317073170731,-0.030344073138332428
2018-01-22,72.84,74.57317073170732,-0.02324121013900249
2018-01-23,72.5,75.20317073170732,-0.03594490372422021
2018-01-24,73.13,74.55317073170731,-0.019089338759700092
2018-01-25,72.48,75.1431707317073,-0.03544128768821764
2018-01-26,73.07,73.67317073170732,-0.008187115142686996
2018-01-29,71.6,72.8931707317073,-0.017740629454396917
2018-01-30,70.82,73.00317073170733,-0.02990514945892786
2018-01-31,70.93,71.8931707317073,-0.01339724930621966
2018-02-01,69.82,66.97317073170731,0.04250701045194649
2018-02-02,64.9,65.05317073170731,-0.0023545467497505523
2018-02-05,62.98,66.23317073170732,-0.049116940888803806
