date,COO,dcf,Deviation
1993-01-20,1.5,,
1993-01-21,1.69,,
1993-01-22,1.69,,
1993-01-25,1.69,,
1993-01-26,1.69,,
1993-01-27,1.69,,
1993-01-28,1.69,,
1993-01-29,1.69,,
1993-02-01,1.69,,
1993-02-02,1.41,,
1993-02-03,1.22,,
1993-02-04,1.03,,
1993-02-05,1.22,,
1993-02-08,1.03,,
1993-02-09,1.03,,
1993-02-10,1.13,,
1993-02-11,1.22,,
1993-02-12,1.22,,
1993-02-16,1.13,,
1993-02-17,1.22,,
1993-02-18,1.13,,
1993-02-19,1.03,,
1993-02-22,0.94,,
1993-02-23,1.03,,
1993-02-24,1.03,,
1993-02-25,0.84,,
1993-02-26,0.84,,
1993-03-01,0.94,,
1993-03-02,0.84,,
1993-03-03,0.94,,
1993-03-04,0.94,,
1993-03-05,0.94,,
1993-03-08,0.94,,
1993-03-09,0.84,,
1993-03-10,0.84,,
1993-03-11,0.84,,
1993-03-12,0.75,,
1993-03-15,0.84,,
1993-03-16,0.84,,
1993-03-17,0.94,,
1993-03-18,0.94,,
1993-03-19,0.94,,
1993-03-22,0.84,,
1993-03-23,0.84,,
1993-03-24,0.84,,
1993-03-25,1.03,,
1993-03-26,0.94,,
1993-03-29,1.03,,
1993-03-30,0.94,,
1993-03-31,0.94,,
1993-04-01,0.94,,
1993-04-02,0.94,,
1993-04-05,0.94,,
1993-04-06,0.84,,
1993-04-07,0.84,,
1993-04-08,0.84,,
1993-04-12,0.84,,
1993-04-13,0.75,,
1993-04-14,0.75,,
1993-04-15,0.66,,
1993-04-16,0.75,,
1993-04-19,0.7,,
1993-04-20,0.66,,
1993-04-21,0.66,,
1993-04-22,0.7,,
1993-04-23,0.66,,
1993-04-26,0.61,,
1993-04-27,0.66,,
1993-04-28,0.66,,
1993-04-29,0.66,,
1993-04-30,0.66,,
1993-05-03,0.61,,
1993-05-04,0.61,,
1993-05-05,0.56,,
1993-05-06,0.56,,
1993-05-07,0.56,,
1993-05-10,0.56,,
1993-05-11,0.56,,
1993-05-12,0.56,,
1993-05-13,0.66,,
1993-05-14,0.56,,
1993-05-17,0.61,,
1993-05-18,0.7,,
1993-05-19,0.61,,
1993-05-20,0.61,,
1993-05-21,0.56,,
1993-05-24,0.61,,
1993-05-25,0.66,,
1993-05-26,0.66,,
1993-05-27,0.61,,
1993-05-28,0.61,,
1993-06-01,0.61,,
1993-06-02,0.61,,
1993-06-03,0.66,,
1993-06-04,0.66,,
1993-06-07,1.13,,
1993-06-08,0.94,,
1993-06-09,0.94,,
1993-06-10,0.94,,
1993-06-11,0.89,,
1993-06-14,0.84,,
1993-06-15,0.94,,
1993-06-16,0.75,,
1993-06-17,0.75,,
1993-06-18,0.75,,
1993-06-21,0.66,,
1993-06-22,0.61,,
1993-06-23,0.66,,
1993-06-24,0.56,,
1993-06-25,0.56,,
1993-06-28,0.56,,
1993-06-29,0.61,,
1993-06-30,0.56,,
1993-07-01,0.61,,
1993-07-02,0.56,,
1993-07-06,0.56,,
1993-07-07,0.61,,
1993-07-08,0.56,,
1993-07-09,0.56,,
1993-07-12,0.56,,
1993-07-13,0.66,,
1993-07-14,0.61,,
1993-07-15,0.61,,
1993-07-16,0.61,,
1993-07-19,0.56,,
1993-07-20,0.47,,
1993-07-21,0.52,,
1993-07-22,0.61,,
1993-07-23,0.66,,
1993-07-26,0.56,,
1993-07-27,0.56,,
1993-07-28,0.56,,
1993-07-29,0.61,,
1993-07-30,0.66,,
1993-08-02,0.61,,
1993-08-03,0.66,,
1993-08-04,0.52,,
1993-08-05,0.61,,
1993-08-06,0.61,,
1993-08-09,0.66,,
1993-08-10,0.61,,
1993-08-11,0.66,,
1993-08-12,0.61,,
1993-08-13,0.61,,
1993-08-16,0.66,,
1993-08-17,0.66,,
1993-08-18,0.66,,
1993-08-19,0.56,,
1993-08-20,0.56,,
1993-08-23,0.56,,
1993-08-24,0.52,,
1993-08-25,0.56,,
1993-08-26,0.56,,
1993-08-27,0.56,,
1993-08-30,0.56,,
1993-08-31,0.61,,
1993-09-01,0.61,,
1993-09-02,0.61,,
1993-09-03,0.56,,
1993-09-07,0.56,,
1993-09-08,0.61,,
