date,REG,dcf,Deviation
2011-05-31,46.31,800.5740170625697,-0.942154005734637
2011-06-01,44.44,800.2340170625715,-0.9444662448078296
2011-06-02,44.1,800.2240170625714,-0.9448904318544694
2011-06-03,44.09,799.5740170625697,-0.944858138134634
2011-06-06,43.44,799.9940170625716,-0.945699593905085
2011-06-07,43.86,799.6340170625705,-0.9451499072524224
2011-06-08,43.5,798.9440170625711,-0.9455531312945633
2011-06-09,42.81,797.7540170625717,-0.9463368418279714
2011-06-10,41.62,797.8240170625697,-0.947833107164113
2011-06-13,41.69,798.1340170625705,-0.9477656645265733
2011-06-14,42.0,797.5740170625697,-0.9473403106150773
2011-06-15,41.44,797.9140170625708,-0.9480645794987327
2011-06-16,41.78,798.6240170625703,-0.9476850193490655
2011-06-17,42.49,799.0640170625696,-0.9468252867195834
2011-06-20,42.93,799.3940170625706,-0.9462968209872907
2011-06-21,43.26,799.5440170625694,-0.9458941608256515
2011-06-22,43.41,798.8140170625696,-0.9456569375689864
2011-06-23,42.68,798.7840170625693,-0.946568785693847
2011-06-24,42.65,798.9640170625713,-0.9466183719301844
2011-06-27,42.83,799.3340170625698,-0.9464178940395985
2011-06-28,43.2,800.1340170625705,-0.946009044636554
2011-06-29,44.0,800.10401706257,-0.9450071502433676
2011-06-30,43.97,256.6394584588497,-0.8286701496954324
2011-07-01,44.99,257.1594584588499,-0.8250501837668195
2011-07-05,45.51,257.7394584588508,-0.823426338085265
2011-07-06,46.09,258.3994584588498,-0.8216327531222753
2011-07-07,46.75,258.62945845884957,-0.8192394622075181
2011-07-08,46.98,258.1394584588497,-0.818005351524013
2011-07-11,46.49,258.53945845884857,-0.8201821869778545
2011-07-12,46.89,258.1894584588502,-0.8183891771573887
2011-07-13,46.54,257.86945845884946,-0.8195210852880943
2011-07-14,46.22,258.1994584588503,-0.8209911040252389
2011-07-15,46.55,257.9694584588505,-0.8195522823589393
2011-07-18,46.32,258.9394584588502,-0.821116486936034
2011-07-19,47.29,258.9694584588505,-0.8173915940457734
2011-07-20,47.32,258.61945845884946,-0.8170284622743135
2011-07-21,46.97,258.8494584588492,-0.8185431784186363
2011-07-22,47.2,258.27945845884847,-0.8172522109127762
2011-07-25,46.63,258.4094584588499,-0.819549948836623
2011-07-26,46.76,256.77945845884847,-0.8178982061857811
2011-07-27,45.13,256.6494584588498,-0.8241570417837606
2011-07-28,45.0,256.5694584588489,-0.8246088982285569
2011-07-29,44.92,256.0594584588488,-0.8245719948391632
2011-08-01,44.41,253.88945845884967,-0.8250813552103505
2011-08-02,42.24,253.329458458849,-0.8332606075228259
2011-08-03,41.68,249.99945845885088,-0.8332796388562562
2011-08-04,38.35,249.27945845884847,-0.8461565977513912
2011-08-05,37.63,245.759458458851,-0.846882800621484
2011-08-08,34.11,248.66945845885,-0.8628299582449747
2011-08-09,37.02,248.04945845884868,-0.8507555701592406
2011-08-10,36.4,250.5194584588511,-0.8547019052973929
2011-08-11,38.87,250.56945845884889,-0.8448733527259323
2011-08-12,38.92,251.4294584588501,-0.8452050915649973
2011-08-15,39.78,251.54945845884868,-0.8418601246700451
2011-08-16,39.9,252.1794584588501,-0.8417793414109074
2011-08-17,40.53,250.60945845884933,-0.8382742604798569
2011-08-18,38.96,250.23945845885075,-0.8443091259869931
2011-08-19,38.59,250.33945845884912,-0.845849311021245
2011-08-22,38.69,251.36945845884944,-0.8460831310326677
2011-08-23,39.72,252.12945845884954,-0.8424618834990962
2011-08-24,40.48,251.31945845884889,-0.8389301001672014
2011-08-25,39.67,251.6894584588502,-0.8423851350672049
2011-08-26,40.04,253.38945845884967,-0.8419823766800367
2011-08-29,41.74,253.39945845884978,-0.8352798374003697
2011-08-30,41.75,252.90945845884988,-0.834921160108399
2011-08-31,41.26,251.91945845885,-0.8362174948596135
2011-09-01,40.27,250.74945845885088,-0.8394014477737806
2011-09-02,39.1,250.24945845885088,-0.8437559056439304
2011-09-06,38.6,251.579458458849,-0.8465693493560253
2011-09-07,39.93,250.84945845884923,-0.8408208642533292
2011-09-08,39.2,249.1894584588502,-0.8426899747588108
2011-09-09,37.54,249.33945845884912,-0.8494422012784006
2011-09-12,37.69,249.52945845884847,-0.8489557095471527
2011-09-13,37.88,249.77945845884847,-0.8483462161631646
2011-09-14,38.13,250.36945845884944,-0.84770506660553
2011-09-15,38.72,251.14945845884978,-0.8458288533146721
2011-09-16,39.5,250.09945845884923,-0.8420628327489992
2011-09-19,38.45,249.72945845885064,-0.846033382536103
2011-09-20,38.08,247.63945845884967,-0.8462280597890753
2011-09-21,35.99,246.5194584588511,-0.8540074677066215
2011-09-22,34.87,246.85945845884933,-0.8587455379765702
2011-09-23,35.21,247.55945845884878,-0.8577715421612425
2011-09-26,35.91,248.34945845884923,-0.8554053621745659
2011-09-27,36.7,247.4294584588501,-0.8516748966408801
2011-09-28,35.78,248.27945845884847,-0.8558881986367373
2011-09-29,36.63,246.97945845885064,-0.8516880706251004
2011-09-30,35.33,33.61130746635699,0.05113435516792442
2011-10-03,33.37,35.15130746635699,-0.05067542560292715
2011-10-04,34.91,34.64130746635699,0.00775642010348343
2011-10-05,34.4,35.93130746635699,-0.042617638330883945
2011-10-06,35.69,34.701307466356994,0.028491506684626966
2011-10-07,34.46,36.271307466356994,-0.049937749501780426
2011-10-10,36.03,35.21130746635699,0.02325084163447322
2011-10-11,34.97,36.21130746635699,-0.03427955390758153
2011-10-12,35.97,35.57130746635699,0.011208261996556779
2011-10-13,35.33,36.12130746635699,-0.021906944179526322
2011-10-14,35.88,35.07130746635699,0.023058522537797277
2011-10-17,34.83,36.72130746635699,-0.0515043607336082
2011-10-18,36.48,36.07130746635699,0.011330128081001423
2011-10-19,35.83,36.76130746635699,-0.02533390487292375
2011-10-20,36.52,37.97130746635699,-0.03822116127138531
2011-10-21,37.73,39.13130746635699,-0.03581039216647097
2011-10-24,38.89,39.06130746635699,-0.004385605026266393
2011-10-25,38.82,39.03130746635699,-0.005413794209664369
2011-10-26,38.79,41.03130746635699,-0.0546243248084336
2011-10-27,40.79,41.54130746635699,-0.01808579248415454
2011-10-28,41.3,41.201307466356994,0.002395373829424896
2011-10-31,40.96,38.94130746635699,0.05183936197794714
2011-11-01,38.7,39.771307466356994,-0.02693669216842376
2011-11-02,39.53,40.25130746635699,-0.017920100283944196
2011-11-03,40.01,39.911307466356995,0.002472796305312608
2011-11-04,39.67,39.56130746635699,0.002747445436060092
2011-11-07,39.32,39.88130746635699,-0.014074449962065527
2011-11-08,39.64,37.731307466356995,0.05058644032796589
2011-11-09,37.49,37.69130746635699,-0.005340952062665161
2011-11-10,37.45,38.44130746635699,-0.025787558532564425
2011-11-11,38.2,37.29130746635699,0.024367408797956625
2011-11-14,37.05,37.90130746635699,-0.022461163565733244
2011-11-15,37.66,37.591307466356994,0.001827351541429545
2011-11-16,37.35,36.951307466356994,0.010789673247854736
2011-11-17,36.71,37.26130746635699,-0.014795709110711153
2011-11-18,37.02,36.07130746635699,0.026300475371674237
2011-11-21,35.83,35.96130746635699,-0.0036513540693656754
2011-11-22,35.72,34.701307466356994,0.029356027424344955
2011-11-23,34.46,34.841307466356994,-0.01094412047323956
2011-11-25,34.6,35.92130746635699,-0.03678339012560983
2011-11-28,35.68,35.911307466356995,-0.006441076158914316
2011-11-29,35.67,37.40130746635699,-0.04629002523278958
2011-11-30,37.16,36.93130746635699,0.006192375773626191
2011-12-01,36.69,37.24130746635699,-0.014803654969821722
2011-12-02,37.0,37.56130746635699,-0.014943768048003792
2011-12-05,37.32,37.481307466356995,-0.004303677679915019
2011-12-06,37.24,38.37130746635699,-0.029483161796060475
2011-12-07,38.13,36.51130746635699,0.04433400625640549
2011-12-08,36.27,36.87130746635699,-0.01630827620923514
2011-12-09,36.63,35.951307466356994,0.01887810434371895
2011-12-12,35.71,35.74130746635699,-0.0008759463090840525
2011-12-13,35.5,35.53130746635699,-0.0008811233976300237
2011-12-14,35.29,35.89130746635699,-0.016753568170249422
2011-12-15,35.65,36.42130746635699,-0.02117736896374367
2011-12-16,36.18,36.22130746635699,-0.0011404189756363259
2011-12-19,35.98,37.29130746635699,-0.03516389087564209
2011-12-20,37.05,37.19130746635699,-0.0037994756297508037
2011-12-21,36.95,37.981307466356995,-0.02715302697966626
2011-12-22,37.74,37.911307466356995,-0.004518637783964885
2011-12-23,37.67,37.99130746635699,-0.008457394277402108
2011-12-27,37.75,37.55130746635699,0.005291228110260171
2011-12-28,37.31,38.00130746635699,-0.018191675825075526
2011-12-29,37.76,37.86130746635699,-0.0026757519255512507
2011-12-30,37.62,37.68920259719657,-0.001836138533791054
2012-01-03,37.56,36.81920259719657,0.020119865465523024
2012-01-04,36.69,37.00920259719657,-0.008624952033436939
2012-01-05,36.88,37.17920259719657,-0.008047579729940968
2012-01-06,37.05,37.31920259719657,-0.007213514182020542
2012-01-09,37.19,37.98920259719657,-0.021037624971247615
2012-01-10,37.86,38.78920259719657,-0.023955186881406187
2012-01-11,38.66,39.37920259719657,-0.018263513473169457
2012-01-12,39.25,39.24920259719657,2.0316407739917608e-05
2012-01-13,39.12,39.44920259719657,-0.008344974689550866
2012-01-17,39.32,40.14920259719657,-0.0206530277952387
2012-01-18,40.02,40.38920259719657,-0.00914112122684485
2012-01-19,40.26,40.459202597196565,-0.0049235423441185144
2012-01-20,40.33,40.21920259719657,0.002754838376908708
2012-01-23,40.09,40.62920259719657,-0.01327130641825025
2012-01-24,40.5,40.99920259719657,-0.012175909909787008
2012-01-25,40.87,41.54920259719657,-0.016346946625695247
2012-01-26,41.42,41.69920259719657,-0.006695633964361125
2012-01-27,41.57,41.63920259719657,-0.001661957791699642
2012-01-30,41.51,41.44920259719657,0.0014667930622034309
2012-01-31,41.32,41.32920259719657,-0.00022266573314422278
2012-02-01,41.2,42.30920259719657,-0.02621658006076577
2012-02-02,42.18,43.48920259719657,-0.030104083749766475
2012-02-03,43.36,43.61920259719657,-0.005942396508028525
2012-02-06,43.49,43.11920259719657,0.008599356677981396
2012-02-07,42.99,43.31920259719657,-0.007599461150235354
2012-02-08,43.19,42.94920259719657,0.005606562828692541
2012-02-09,42.82,42.63920259719657,0.004240168478556683
2012-02-10,42.51,42.96920259719657,-0.01068678424175673
2012-02-13,42.84,42.63920259719657,0.004709220402180581
2012-02-14,42.51,42.76920259719657,-0.006060496372536028
2012-02-15,42.64,43.21920259719657,-0.01340151049510896
2012-02-16,43.09,43.37920259719657,-0.006666849086231386
2012-02-17,43.25,42.78920259719657,0.01076901121858298
2012-02-21,42.66,42.33920259719657,0.007576840921058592
2012-02-22,42.21,43.07920259719657,-0.020176849727787993
2012-02-23,42.95,43.10920259719657,-0.0036930072375526146
2012-02-24,42.98,42.90920259719657,0.0016499351774963422
2012-02-27,42.78,42.68920259719657,0.0021269407081732083
2012-02-28,42.56,42.919202597196566,-0.008369274717606845
2012-02-29,42.79,43.25920259719657,-0.01084630712141188
2012-03-01,43.13,42.97920259719657,0.0035086133220458837
2012-03-02,42.85,43.19920259719657,-0.00808354266287381
2012-03-05,43.07,42.56920259719657,0.011764312513488528
2012-03-06,42.44,42.74920259719657,-0.007232944205065706
2012-03-07,42.62,42.19920259719657,0.0099716908591867
2012-03-08,42.07,42.04920259719657,0.0004945968417677804
2012-03-09,41.92,42.04920259719657,-0.0030726527309981044
2012-03-12,41.92,43.18920259719657,-0.029387034741848894
2012-03-13,43.06,43.37920259719657,-0.007358424730868451
2012-03-14,43.25,43.76920259719657,-0.011862281384806939
2012-03-15,43.64,44.37920259719657,-0.016656509219101223
2012-03-16,44.25,44.75920259719657,-0.01137648947366332
2012-03-19,44.63,44.74920259719657,-0.002663792655023478
2012-03-20,44.62,44.63920259719657,-0.0004301733919812589
2012-03-21,44.51,44.35920259719657,0.003399461531640613
2012-03-22,44.23,44.37920259719657,-0.0033619936471322998
2012-03-23,44.25,44.669202597196566,-0.009384599966485108
