date,CCL,dcf,Deviation
1991-07-03,5.22,,
1991-07-05,5.28,,
1991-07-08,5.38,,
1991-07-09,5.28,,
1991-07-10,5.44,,
1991-07-11,5.44,,
1991-07-12,5.44,,
1991-07-15,5.47,,
1991-07-16,5.41,,
1991-07-17,5.38,,
1991-07-18,5.56,,
1991-07-19,5.56,,
1991-07-22,5.5,,
1991-07-23,5.53,,
1991-07-24,5.53,,
1991-07-25,5.53,,
1991-07-26,5.5,,
1991-07-29,5.56,,
1991-07-30,5.69,,
1991-07-31,5.72,,
1991-08-01,5.66,,
1991-08-02,5.5,,
1991-08-05,5.47,,
1991-08-06,5.44,,
1991-08-07,5.5,,
1991-08-08,5.5,,
1991-08-09,5.34,,
1991-08-12,5.38,,
1991-08-13,5.5,,
1991-08-14,5.41,,
1991-08-15,5.44,,
1991-08-16,5.31,,
1991-08-19,5.09,,
1991-08-20,5.16,,
1991-08-21,5.25,,
1991-08-22,5.38,,
1991-08-23,5.41,,
1991-08-26,5.31,,
1991-08-27,5.25,,
1991-08-28,5.38,,
1991-08-29,5.47,,
1991-08-30,5.59,,
1991-09-03,5.47,,
1991-09-04,5.47,,
1991-09-05,5.25,,
1991-09-06,5.19,,
1991-09-09,5.19,,
1991-09-10,5.34,,
1991-09-11,5.38,,
1991-09-12,5.63,,
1991-09-13,5.59,,
1991-09-16,5.69,,
1991-09-17,5.81,,
1991-09-18,5.84,,
1991-09-19,6.09,,
1991-09-20,6.09,,
1991-09-23,6.03,,
1991-09-24,6.0,,
1991-09-25,6.28,,
1991-09-26,6.28,,
1991-09-27,6.28,,
1991-09-30,6.34,,
1991-10-01,6.41,,
1991-10-02,6.47,,
1991-10-03,6.44,,
1991-10-04,6.22,,
1991-10-07,6.19,,
1991-10-08,6.25,,
1991-10-09,6.13,,
1991-10-10,6.47,,
1991-10-11,6.44,,
1991-10-14,6.5,,
1991-10-15,6.44,,
1991-10-16,6.97,,
1991-10-17,6.94,,
1991-10-18,7.19,,
1991-10-21,7.03,,
1991-10-22,6.84,,
1991-10-23,6.81,,
1991-10-24,6.69,,
1991-10-25,6.75,,
1991-10-28,6.91,,
1991-10-29,6.91,,
1991-10-30,6.75,,
1991-10-31,6.63,,
1991-11-01,6.75,,
1991-11-04,6.69,,
1991-11-05,6.59,,
1991-11-06,6.5,,
1991-11-07,6.44,,
1991-11-08,6.59,,
1991-11-11,6.47,,
1991-11-12,6.44,,
1991-11-13,6.22,,
1991-11-14,6.09,,
1991-11-15,5.91,,
1991-11-18,5.78,,
1991-11-19,5.5,,
1991-11-20,5.5,,
1991-11-21,5.72,,
1991-11-22,5.75,,
1991-11-25,5.63,,
1991-11-26,5.75,,
1991-11-27,5.78,,
1991-11-29,5.78,,
1991-12-02,6.09,,
1991-12-03,6.03,,
1991-12-04,6.06,,
1991-12-05,6.0,,
1991-12-06,5.97,,
1991-12-09,5.88,,
1991-12-10,5.81,,
1991-12-11,5.78,,
1991-12-12,5.75,,
1991-12-13,5.81,,
1991-12-16,5.97,,
1991-12-17,6.0,,
1991-12-18,5.91,,
1991-12-19,5.81,,
1991-12-20,5.69,,
1991-12-23,5.91,,
1991-12-24,6.34,,
1991-12-26,6.31,,
1991-12-27,6.31,,
1991-12-30,6.41,,
1991-12-31,6.56,,
1992-01-02,6.44,,
1992-01-03,6.5,,
1992-01-06,6.53,,
1992-01-07,6.69,,
1992-01-08,6.94,,
1992-01-09,7.06,,
1992-01-10,7.06,,
1992-01-13,7.06,,
1992-01-14,7.0,,
1992-01-15,7.06,,
1992-01-16,7.0,,
1992-01-17,6.94,,
1992-01-20,6.81,,
1992-01-21,6.63,,
