date,XRX,dcf,Deviation
1993-09-10,31.84,,
1993-09-13,31.62,,
1993-09-14,31.24,,
1993-09-15,31.18,,
1993-09-16,31.46,,
1993-09-17,31.51,,
1993-09-20,31.29,,
1993-09-21,30.91,,
1993-09-22,31.02,,
1993-09-23,31.4,,
1993-09-24,31.57,,
1993-09-27,32.39,,
1993-09-28,32.33,,
1993-09-29,31.79,,
1993-09-30,32.11,,
1993-10-01,32.39,,
1993-10-04,32.06,,
1993-10-05,31.9,,
1993-10-06,31.18,,
1993-10-07,31.68,,
1993-10-08,31.79,,
1993-10-11,31.57,,
1993-10-12,31.62,,
1993-10-13,32.06,,
1993-10-14,31.73,,
1993-10-15,32.22,,
1993-10-18,32.33,,
1993-10-19,32.39,,
1993-10-20,32.17,,
1993-10-21,32.22,,
1993-10-22,32.11,,
1993-10-25,32.28,,
1993-10-26,31.73,,
1993-10-27,31.02,,
1993-10-28,33.54,,
1993-10-29,34.8,,
1993-11-01,35.13,,
1993-11-02,34.91,,
1993-11-03,34.48,,
1993-11-04,34.69,,
1993-11-05,35.02,,
1993-11-08,34.97,,
1993-11-09,35.08,,
1993-11-10,34.91,,
1993-11-11,34.91,,
1993-11-12,35.85,,
1993-11-15,36.01,,
1993-11-16,35.96,,
1993-11-17,36.18,,
1993-11-18,36.12,,
1993-11-19,36.18,,
1993-11-22,35.3,,
1993-11-23,35.41,,
1993-11-24,35.96,,
1993-11-26,36.29,,
1993-11-29,36.18,,
1993-11-30,36.18,,
1993-12-01,36.07,,
1993-12-02,36.18,,
1993-12-03,36.12,,
1993-12-06,36.01,,
1993-12-07,35.46,,
1993-12-08,37.93,,
1993-12-09,39.31,,
1993-12-10,38.7,,
1993-12-13,38.76,,
1993-12-14,38.54,,
