CMI,dcf,Deviation
5.47,,
5.66,,
5.69,,
5.58,,
5.44,,
5.39,,
5.38,,
5.44,,
5.38,,
5.25,,
5.22,,
5.31,,
5.31,,
5.34,,
5.38,,
5.34,,
5.38,,
5.38,,
5.38,,
5.34,,
5.23,,
4.98,,
4.94,,
5.02,,
4.94,,
4.92,,
4.83,,
4.8,,
4.58,,
4.53,,
4.47,,
4.72,,
4.78,,
4.81,,
4.83,,
4.84,,
4.73,,
4.73,,
4.78,,
4.98,,
5.13,,
5.11,,
5.23,,
5.38,,
5.2,,
5.23,,
5.19,,
5.11,,
5.09,,
5.11,,
5.14,,
5.03,,
4.98,,
4.97,,
4.81,,
4.8,,
4.69,,
4.67,,
4.69,,
4.63,,
4.73,,
4.8,,
4.89,,
4.89,,
4.91,,
4.83,,
4.83,,
4.8,,
4.84,,
4.75,,
4.83,,
4.78,,
4.86,,
4.86,,
4.77,,
4.78,,
4.77,,
4.75,,
4.67,,
4.66,,
4.69,,
4.55,,
4.45,,
4.42,,
4.42,,
4.44,,
4.25,,
4.2,,
4.23,,
4.34,,
4.3,,
4.23,,
4.23,,
4.28,,
4.28,,
4.28,,
4.28,,
4.28,,
4.31,,
4.38,,
4.36,,
4.38,,
4.38,,
4.33,,
4.33,,
4.25,,
4.22,,
4.17,,
4.19,,
3.95,,
4.0,,
4.11,,
4.13,,
4.13,,
4.16,,
4.33,,
4.23,,
4.23,,
4.25,,
4.25,,
4.25,,
4.22,,
4.23,,
4.25,,
4.25,,
4.47,,
4.75,,
4.59,,
4.63,,
4.59,,
4.58,,
4.53,,
4.5,,
4.38,,
4.41,,
4.48,,
4.5,,
4.41,,
4.42,,
4.44,,
4.39,,
4.47,,
4.53,,
4.53,,
4.53,,
4.45,,
4.42,,
4.48,,
4.58,,
4.78,,
4.72,,
4.78,,
4.81,,
4.86,,
4.88,,
4.89,,
4.83,,
4.73,,
4.88,,
4.97,,
5.0,,
4.94,,
4.95,,
4.94,,
4.94,,
4.92,,
4.98,,
5.03,,
5.08,,
5.13,,
5.17,,
5.16,,
5.06,,
5.09,,
5.06,,
5.03,,
4.92,,
4.91,,
4.94,,
5.03,,
5.0,,
4.97,,
4.97,,
5.06,,
5.19,,
5.28,,
5.23,,
5.19,,
5.17,,
5.13,,
5.13,,
5.05,,
5.05,,
5.05,,
5.0,,
4.88,,
4.86,,
4.92,,
4.75,,
4.8,,
4.75,,
4.63,,
4.61,,
4.7,,
4.58,,
4.66,,
4.72,,
4.72,,
4.63,,
4.67,,
4.69,,
4.72,,
4.7,,
4.58,,
4.52,,
4.56,,
4.66,,
4.73,,
4.66,,
4.64,,
4.63,,
4.63,,
4.63,,
4.67,,
4.91,,
4.88,,
4.91,,
4.88,,
4.83,,
4.75,,
4.8,,
4.83,,
4.75,,
4.73,,
4.8,,
4.81,,
4.94,,
5.14,,
5.2,,
5.25,,
5.23,,
5.27,,
5.11,,
5.05,,
4.97,,
4.75,,
4.92,,
4.91,,
4.86,,
4.94,,
5.02,,
5.16,,
5.11,,
4.92,,
4.88,,
4.88,,
4.78,,
4.78,,
4.75,,
4.78,,
4.77,,
4.77,,
4.86,,
4.78,,
4.8,,
4.72,,
4.75,,
4.72,,
4.67,,
4.64,,
4.63,,
4.63,,
4.66,,
4.56,,
4.56,,
4.48,,
4.47,,
4.44,,
4.36,,
4.28,,
4.13,,
4.16,,
4.16,,
4.13,,
4.03,,
3.88,,
3.83,,
3.69,,
3.88,,
3.88,,
3.84,,
3.86,,
3.83,,
3.88,,
3.95,,
3.94,,
3.91,,
3.94,,
4.03,,
4.06,,
4.13,,
4.16,,
4.23,,
4.38,,
4.47,,
4.34,,
4.22,,
4.08,,
4.09,,
4.09,,
4.11,,
4.08,,
4.2,,
4.14,,
4.16,,
4.09,,
4.16,,
4.11,,
4.13,,
4.16,,
4.08,,
4.06,,
4.06,,
4.09,,
4.19,,
4.3,,
4.2,,
4.19,,
4.16,,
4.25,,
4.27,,
4.3,,
4.23,,
4.25,,
4.34,,
4.36,,
4.41,,
4.44,,
4.42,,
4.47,,
4.52,,
4.47,,
4.5,,
4.5,,
4.55,,
4.48,,
4.45,,
4.5,,
4.5,,
4.52,,
4.55,,
4.56,,
4.58,,
4.59,,
4.59,,
4.56,,
4.56,,
4.58,,
4.55,,
4.53,,
4.53,,
4.47,,
4.44,,
4.41,,
4.41,,
4.38,,
4.28,,
4.31,,
4.19,,
4.13,,
4.2,,
4.33,,
4.28,,
4.27,,
4.27,,
4.25,,
4.28,,
4.31,,
4.48,,
4.45,,
4.47,,
4.48,,
4.59,,
4.63,,
4.63,,
4.63,,
4.72,,
4.67,,
4.72,,
4.64,,
4.67,,
4.63,,
4.61,,
4.73,,
4.63,,
4.58,,
4.56,,
4.58,,
4.56,,
4.67,,
4.66,,
4.55,,
4.58,,
4.66,,
4.66,,
4.63,,
4.56,,
4.53,,
4.61,,
4.66,,
4.64,,
4.59,,
4.59,,
4.56,,
4.56,,
4.58,,
4.53,,
4.48,,
4.44,,
4.45,,
4.5,,
4.48,,
4.48,,
4.63,,
4.78,,
4.72,,
4.72,,
4.72,,
4.8,,
4.75,,
4.72,,
4.75,,
4.69,,
4.69,,
4.64,,
4.67,,
4.66,,
4.66,,
4.63,,
4.72,,
4.69,,
4.73,,
4.7,,
4.63,,
