date,V,dcf,Deviation
2014-10-28,54.18,56.79361331220285,-0.04601949338626221
2014-10-29,53.67,62.28361331220285,-0.13829662176191115
2014-10-30,59.16,63.483613312202856,-0.06810597391392925
2014-10-31,60.36,63.50361331220285,-0.04950290461029205
2014-11-03,60.38,63.86361331220285,-0.05454770144578103
2014-11-04,60.74,65.50361331220286,-0.0727229090324919
2014-11-05,62.38,65.64361331220286,-0.049717149125856674
2014-11-06,62.52,66.23361331220285,-0.05606840887115927
2014-11-07,63.11,65.67361331220285,-0.03903566718669493
2014-11-10,62.55,65.55361331220286,-0.045819187691424124
2014-11-11,62.43,66.11361331220286,-0.055716411910630814
2014-11-12,62.99,65.85361331220285,-0.04348452830715388
2014-11-13,62.73,65.33361331220286,-0.03985105338903039
2014-11-14,62.21,65.57361331220285,-0.0512952259651811
2014-11-17,62.45,65.55361331220286,-0.04734465661597809
2014-11-18,62.43,65.59361331220285,-0.04823050831405107
2014-11-19,62.47,66.04361331220285,-0.05410990000364735
2014-11-20,62.92,66.68361331220285,-0.05643985269037788
2014-11-21,63.56,66.77361331220285,-0.048126994373922316
2014-11-24,63.65,67.44361331220284,-0.0562486664918419
2014-11-25,64.32,67.44361331220284,-0.04631444192859813
2014-11-26,64.32,67.67361331220285,-0.049555700487447285
2014-11-28,64.55,67.66361331220287,-0.046016066239863984
2014-12-01,64.54,68.12361331220285,-0.05260456892941878
2014-12-02,65.0,68.52361331220285,-0.05142188425103611
2014-12-03,65.4,68.41361331220287,-0.044049907120829235
2014-12-04,65.29,68.96361331220285,-0.053268863619024054
2014-12-05,65.84,68.90361331220285,-0.04446230269988294
2014-12-08,65.78,69.16361331220287,-0.0489218701881482
2014-12-09,66.04,68.55361331220287,-0.03666638694528779
2014-12-10,65.43,68.90361331220285,-0.05041264376751731
2014-12-11,65.78,67.32361331220285,-0.022928260030319225
2014-12-12,64.2,67.30361331220287,-0.04611362094046956
2014-12-15,64.18,66.47361331220286,-0.03450411671516285
2014-12-16,63.35,67.89361331220286,-0.06692254382322305
2014-12-17,64.77,69.16361331220287,-0.06352492447683744
2014-12-18,66.04,68.54361331220285,-0.03652584378356849
2014-12-19,65.42,69.17361331220285,-0.05426365824294266
2014-12-22,66.05,69.44361331220284,-0.04886861657019381
2014-12-23,66.32,70.03361331220285,-0.05302615610661032
2014-12-24,66.91,69.77361331220285,-0.041041493714673916
2014-12-26,66.65,69.48361331220285,-0.04078102990227195
2014-12-29,66.36,69.26361331220285,-0.04192119315397158
2014-12-30,66.14,68.67361331220285,-0.036893548919358254
2014-12-31,65.55,69.61833602584814,-0.05843770848440899
2015-01-02,66.25,68.15833602584816,-0.02799857122574778
2015-01-05,64.79,67.74833602584815,-0.043666548868734445
2015-01-06,64.38,68.60833602584815,-0.06163006233317081
2015-01-07,65.24,69.47833602584814,-0.06100226730057767
2015-01-08,66.11,68.49833602584815,-0.034867066332047836
2015-01-09,65.13,68.36833602584814,-0.0473660207939508
2015-01-12,65.0,68.56833602584814,-0.05204058072085904
2015-01-13,65.2,67.25833602584814,-0.030603433677828362
2015-01-14,63.89,66.64833602584814,-0.04138641998171377
2015-01-15,63.28,67.10833602584815,-0.05704710103933408
2015-01-16,63.74,67.57833602584813,-0.056798321053362355
2015-01-20,64.21,67.68833602584813,-0.05138752449934458
2015-01-21,64.32,67.76833602584814,-0.05088417730269912
2015-01-22,64.4,67.93833602584813,-0.0520815821056011
2015-01-23,64.57,67.49833602584815,-0.04338382541351482
2015-01-26,64.13,66.11833602584814,-0.030072384535975383
2015-01-27,62.75,64.95833602584814,-0.03399619141982646
2015-01-28,61.59,65.36833602584814,-0.057800706818574854
2015-01-29,62.0,67.09833602584814,-0.07598304708903836
2015-01-30,63.73,67.19833602584814,-0.051613421268556836
2015-02-02,63.83,68.31833602584814,-0.06569738502047218
2015-02-03,64.95,69.58833602584814,-0.06665392924649405
2015-02-04,66.22,71.31833602584814,-0.07148702998343004
2015-02-05,67.95,70.22833602584814,-0.032441834091150534
2015-02-06,66.86,69.72833602584814,-0.04113587372549454
2015-02-09,66.36,69.50833602584814,-0.045294366199147174
2015-02-10,66.14,69.86833602584814,-0.05336231314380835
2015-02-11,66.5,71.09833602584814,-0.06467571933295868
2015-02-12,67.73,70.77833602584815,-0.043068772127320076
2015-02-13,67.41,71.08833602584814,-0.05174317238921833
2015-02-17,67.72,70.64833602584814,-0.04144946916763548
2015-02-18,67.28,70.64833602584814,-0.04767749978733771
2015-02-19,67.28,71.61833602584814,-0.06057577244300072
2015-02-20,68.25,71.61833602584814,-0.047031754893501754
2015-02-23,68.25,71.48833602584814,-0.045298802656103976
2015-02-24,68.12,71.61833602584814,-0.04884693250322836
2015-02-25,68.25,71.80833602584815,-0.04955324441116826
2015-02-26,68.44,71.19833602584814,-0.038741579927468295
2015-02-27,67.83,72.93833602584813,-0.07003636639088973
2015-03-02,69.57,72.18833602584813,-0.03627090150561996
2015-03-03,68.82,71.80833602584815,-0.041615447331525335
2015-03-04,68.44,71.89833602584814,-0.04810036249802552
2015-03-05,68.53,70.69833602584814,-0.030670255450642614
2015-03-06,67.33,71.22833602584814,-0.054730129094037294
2015-03-09,67.86,69.66833602584815,-0.02595635447898781
2015-03-10,66.3,69.55833602584815,-0.04684321408489911
2015-03-11,66.19,70.75833602584814,-0.06456251351330988
2015-03-12,67.39,69.62833602584814,-0.03214691250150237
2015-03-13,66.26,70.61833602584814,-0.061716775997849416
2015-03-16,67.25,69.49833602584815,-0.03235093319373772
2015-03-17,66.13,70.28833602584814,-0.059161110661645755
2015-03-18,66.92,70.17833602584814,-0.04642937137534897
